feature,importance,fold
tilt_tvcf_imu_2d_og_pitch_cf,0.001615876949219,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_roll_cf,0.0012469279871539,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0009353869973714,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_cadence_mean,0.0007908968697965,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_speed_anchor_geom,0.0004712663096386,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_acc_hy,0.000377673180259,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_acc_hx,0.0002611528214697,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_gyro_hx,0.0001643559638055,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_velocity_2d_og_vel_hy,0.0001283286482569,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,9.760852104405502e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_velocity_2d_og_vel_hx,-2.3916436724327403e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_R_Hip_angle_Linvel,0.0301227419451503,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
Robot_R_Hip_angle,0.0218875557046939,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
Robot_L_Hip_angle,0.0200758521861616,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
Robot_L_Hip_angle_Linvel,0.0141869715622421,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_roll_cf,0.0021778700239893,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_acc_up,0.0015769936743393,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
Robot_speed_anchor_geom,0.0015290172954699,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0012912472987694,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_acc_hy,0.0007710511251734,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
Robot_cadence_mean,0.000462772254793,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_pitch_cf,0.0003172463445707,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_gyro_up,0.0002997520599682,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,4.6161045530932615e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_velocity_2d_og_vel_hx,3.522665082310132e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_velocity_2d_og_vel_hy,-2.2986890682622288e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_gyro_hy,-3.02551354794834e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_acc_hx,-0.0001616028722506,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
tilt_tvcf_imu_2d_og_gyro_hx,-0.0016632095444167,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
Robot_R_Hip_angle_Linvel,0.0257250079626164,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
Robot_L_Hip_angle,0.0212410823426441,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
Robot_R_Hip_angle,0.0212139204731039,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_acc_up,0.0109264764878618,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
Robot_L_Hip_angle_Linvel,0.0107895205817629,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
Robot_cadence_mean,0.0034954871426974,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0033623467260344,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_acc_hx,0.0025598072401642,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_roll_cf,0.0024747151263694,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_pitch_cf,0.0021476172578444,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_gyro_hy,0.0015636828520539,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_gyro_up,0.0015302818948699,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,0.0002473250642992,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_velocity_2d_og_vel_hx,1.5553351572810542e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_velocity_2d_og_vel_hy,-0.0001727545593351,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
Robot_speed_anchor_geom,-0.0002652079840401,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_gyro_hx,-0.000658683062623,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
tilt_tvcf_imu_2d_og_acc_hy,-0.0012120386919434,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S005_seed42
Robot_R_Hip_angle_Linvel,0.0219488181442122,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
Robot_L_Hip_angle,0.0184654368861411,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
Robot_R_Hip_angle,0.0173104545229443,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
Robot_L_Hip_angle_Linvel,0.0142616463272865,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_acc_up,0.00324239457647,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_roll_cf,0.0021266165122364,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
Robot_cadence_mean,0.0018798239547852,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_pitch_cf,0.0015091059988417,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_gyro_up,0.001182606526131,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0010720446499897,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_gyro_hy,0.0010173101889178,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
Robot_speed_anchor_geom,0.0009520445549408,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_acc_hx,0.0007038020951614,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_gyro_hx,0.000670826404513,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_imu_2d_og_acc_hy,0.0002400720619925,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,9.233725243177825e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_velocity_2d_og_vel_hx,1.4974023379271673e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
tilt_tvcf_velocity_2d_og_vel_hy,-8.250078751114408e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S006_seed42
Robot_R_Hip_angle,0.0233953448268311,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
Robot_R_Hip_angle_Linvel,0.0228723181258743,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
Robot_L_Hip_angle,0.016541775700385,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
Robot_L_Hip_angle_Linvel,0.0145071125871671,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_acc_up,0.0053877107599372,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_gyro_up,0.0021453057888464,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
Robot_speed_anchor_geom,0.0019505618043381,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_roll_cf,0.0015104964288135,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0002884231794818,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_pitch_cf,0.0002880001737045,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_velocity_2d_og_vel_hy,0.0001762889562739,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
Robot_cadence_mean,0.0001330846767729,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,5.725418378160589e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_velocity_2d_og_vel_hx,-1.591406450599138e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_acc_hy,-6.05791907014961e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_gyro_hx,-0.0001145200775795,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_acc_hx,-0.0006390853181256,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
tilt_tvcf_imu_2d_og_gyro_hy,-0.0006874761464607,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S007_seed42
