subject,condition,height_mm,weight_kg,n_samples,speed_mean,speed_std,accel_x_std,accel_y_std,accel_z_std,gyro_x_std,gyro_y_std,gyro_z_std,hip_angle_std,thigh_angle_std,hip_speed_corr,thigh_speed_corr
S001,level_075mps,1780.0,67.0,36895,0.7161267399787903,0.1637449413537979,1.246955394744873,1.116207480430603,0.7700722217559814,0.20193344354629517,0.17956441640853882,0.16719341278076172,13.591050148010254,14.061458587646484,0.2514311693920238,0.26294714694180504
S001,level_100mps,1780.0,67.0,19267,0.9454279541969299,0.22847236692905426,1.76223886013031,1.3641397953033447,0.9543327689170837,0.24753263592720032,0.15597184002399445,0.20381927490234375,15.27687931060791,15.631985664367676,0.30813988109078777,0.3206419826381357
S001,level_125mps,1780.0,67.0,19389,1.1726937294006348,0.2982625663280487,2.613553285598755,1.6179039478302002,1.1700016260147095,0.308879554271698,0.14923112094402313,0.24710765480995178,16.790802001953125,16.990549087524414,0.3167689121445744,0.34475502902328214
S001,accel_sine,1780.0,67.0,21671,0.9710767269134521,0.3490152955055237,2.149190902709961,1.4818964004516602,1.1190775632858276,0.26287686824798584,0.16972772777080536,0.22752591967582703,16.18195343017578,16.468917846679688,0.2588410257423651,0.2830071118290403
S001,decline_5deg,1780.0,67.0,19162,0.7126491665840149,0.16077616810798645,1.794114112854004,1.5128520727157593,0.7778674960136414,0.23660123348236084,0.14904744923114777,0.1950714886188507,10.438318252563477,10.738186836242676,0.15658523448054512,0.0938063014018271
S001,incline_10deg,1780.0,67.0,19254,0.7015201449394226,0.1796916276216507,1.7568966150283813,1.4610774517059326,1.1995526552200317,0.2643071413040161,0.15570373833179474,0.21891900897026062,20.1554012298584,20.305824279785156,0.2856539177530309,0.25790132385124825
S001,stopandgo,1780.0,67.0,39677,0.47587040066719055,0.4648340940475464,1.2118587493896484,1.0130877494812012,0.7589647769927979,0.1854502558708191,0.13846135139465332,0.1571890413761139,13.243742942810059,13.27086067199707,0.6673685396757058,0.6886710167228551
S002,level_075mps,1780.0,80.0,39508,0.7034446597099304,0.185594379901886,0.8621172308921814,1.1170315742492676,0.6066135764122009,0.2221187800168991,0.18063122034072876,0.13882160186767578,11.446124076843262,11.668259620666504,0.3107321870692103,0.35475698637888275
S002,level_100mps,1780.0,80.0,39245,0.9402733445167542,0.23238243162631989,1.3750079870224,1.4527390003204346,0.8862819671630859,0.29339122772216797,0.20455484092235565,0.1826067715883255,13.043044090270996,12.961991310119629,0.3466779919840313,0.37923387593701546
S002,level_125mps,1780.0,80.0,19701,1.1698824167251587,0.2894960641860962,1.9504177570343018,1.8848419189453125,1.152222990989685,0.4260993003845215,0.22895818948745728,0.21001683175563812,15.098193168640137,14.864703178405762,0.3360910954454749,0.40555542524874283
S002,accel_sine,1780.0,80.0,19464,0.9432889223098755,0.36078187823295593,1.6416003704071045,1.535436987876892,0.9257211685180664,0.3432564437389374,0.21715502440929413,0.20700140297412872,14.65052604675293,14.795306205749512,0.3955996801819606,0.530078259258252
S002,decline_5deg,1780.0,80.0,19078,0.7140011191368103,0.15599443018436432,1.5485239028930664,1.2797108888626099,0.5690665245056152,0.2513030171394348,0.135071262717247,0.18078464269638062,8.356444358825684,8.526270866394043,0.18016309385140888,0.1281249735185673
S002,incline_10deg,1780.0,80.0,19218,0.7046359181404114,0.1512148529291153,1.4000778198242188,1.5329279899597168,1.0821244716644287,0.2984027564525604,0.20292682945728302,0.23726949095726013,16.985822677612305,16.025440216064453,0.35152711426701894,0.3344555627840644
S002,stopandgo,1780.0,80.0,38345,0.47601789236068726,0.4459267258644104,0.9672662615776062,1.1224316358566284,0.566828727722168,0.225311279296875,0.1580657958984375,0.1500890702009201,10.261168479919434,9.949000358581543,0.6315894180287751,0.6765839953622383
S003,level_075mps,1770.0,67.0,18798,0.7231127619743347,0.14523743093013763,1.0677937269210815,1.4454452991485596,0.7867485880851746,0.25852999091148376,0.22079671919345856,0.1814020872116089,14.513263702392578,15.371696472167969,0.15931264455782382,0.21086710604343853
S003,level_100mps,1770.0,67.0,18595,0.9699018001556396,0.17681272327899933,1.6829897165298462,1.5718761682510376,0.9888221025466919,0.29102933406829834,0.2364211082458496,0.17055758833885193,17.366796493530273,17.811464309692383,0.2879961005745005,0.27262628980939685
S003,level_125mps,1770.0,67.0,18808,1.2037779092788696,0.23873326182365417,2.4148154258728027,1.7958415746688843,0.7894506454467773,0.36418768763542175,0.27688145637512207,0.19549274444580078,16.708898544311523,17.0605411529541,0.1503066032014561,0.17687359165237346
S003,accel_sine,1770.0,67.0,19246,0.9532920122146606,0.3488958477973938,2.1171140670776367,1.7517516613006592,0.8131701350212097,0.3568167984485626,0.23523947596549988,0.22168444097042084,16.591266632080078,16.75135612487793,0.26796296952175747,0.3342470413178679
S003,decline_5deg,1770.0,67.0,18892,0.7177687883377075,0.15130917727947235,1.8713668584823608,1.2192360162734985,0.6483052372932434,0.2835879325866699,0.1668989062309265,0.17360372841358185,9.78286361694336,10.361662864685059,0.19036269459258873,0.10853982401415256
S003,incline_10deg,1770.0,67.0,18793,0.7116817235946655,0.1385228931903839,1.7267628908157349,1.5515084266662598,0.8276978731155396,0.22163771092891693,0.26297909021377563,0.2705536484718323,19.52143096923828,19.655527114868164,0.21236800706791845,0.1918317088845178
S003,stopandgo,1770.0,67.0,37522,0.4776863157749176,0.4286085367202759,1.206559181213379,1.1767948865890503,0.5785775184631348,0.23093955218791962,0.183193638920784,0.1565670371055603,13.16279411315918,12.880210876464844,0.5160255902249608,0.5567168068011906
S004,level_075mps,1680.0,76.0,19287,0.6895650029182434,0.2155982404947281,0.9361157417297363,1.1237713098526,0.5560610294342041,0.2454218715429306,0.20302799344062805,0.1945163458585739,14.02334213256836,14.091196060180664,0.2100811109600832,0.2954231206624094
S004,level_100mps,1680.0,76.0,38442,0.9546959400177002,0.20714610815048218,1.5670205354690552,1.6167467832565308,0.9532446265220642,0.31498587131500244,0.22394245862960815,0.28657615184783936,15.277985572814941,15.15621566772461,0.053739219840888655,0.22248466861873076
S004,level_125mps,1680.0,76.0,19107,1.193481683731079,0.25149717926979065,2.2438080310821533,2.1881587505340576,1.0705482959747314,0.5055604577064514,0.22780799865722656,0.3510575592517853,16.978958129882812,16.74783706665039,0.2068930544942037,0.2835867216603499
S004,accel_sine,1680.0,76.0,20151,0.95259028673172,0.35017380118370056,1.8844794034957886,1.891876459121704,0.8547461628913879,0.42309102416038513,0.22425737977027893,0.29349228739738464,15.599082946777344,15.278236389160156,0.20669083201339872,0.2775001039704493
S004,decline_5deg,1680.0,76.0,19086,0.711198627948761,0.1671145111322403,2.2787787914276123,1.6761044263839722,0.7133002877235413,0.4161922037601471,0.15262679755687714,0.3200358748435974,9.471611976623535,9.68637466430664,0.017172438958751937,0.07479567809150131
