condition,S005_height_mm,OTH_mean_height_mm,OTH_std_height_mm,delta_height_mm,z_height_mm,S005_weight_kg,OTH_mean_weight_kg,OTH_std_weight_kg,delta_weight_kg,z_weight_kg,S005_n_samples,OTH_mean_n_samples,OTH_std_n_samples,delta_n_samples,z_n_samples,S005_speed_mean,OTH_mean_speed_mean,OTH_std_speed_mean,delta_speed_mean,z_speed_mean,S005_speed_std,OTH_mean_speed_std,OTH_std_speed_std,delta_speed_std,z_speed_std,S005_accel_x_std,OTH_mean_accel_x_std,OTH_std_accel_x_std,delta_accel_x_std,z_accel_x_std,S005_accel_y_std,OTH_mean_accel_y_std,OTH_std_accel_y_std,delta_accel_y_std,z_accel_y_std,S005_accel_z_std,OTH_mean_accel_z_std,OTH_std_accel_z_std,delta_accel_z_std,z_accel_z_std,S005_gyro_x_std,OTH_mean_gyro_x_std,OTH_std_gyro_x_std,delta_gyro_x_std,z_gyro_x_std,S005_gyro_y_std,OTH_mean_gyro_y_std,OTH_std_gyro_y_std,delta_gyro_y_std,z_gyro_y_std,S005_gyro_z_std,OTH_mean_gyro_z_std,OTH_std_gyro_z_std,delta_gyro_z_std,z_gyro_z_std,S005_hip_angle_std,OTH_mean_hip_angle_std,OTH_std_hip_angle_std,delta_hip_angle_std,z_hip_angle_std,S005_thigh_angle_std,OTH_mean_thigh_angle_std,OTH_std_thigh_angle_std,delta_thigh_angle_std,z_thigh_angle_std,S005_hip_speed_corr,OTH_mean_hip_speed_corr,OTH_std_hip_speed_corr,delta_hip_speed_corr,z_hip_speed_corr,S005_thigh_speed_corr,OTH_mean_thigh_speed_corr,OTH_std_thigh_speed_corr,delta_thigh_speed_corr,z_thigh_speed_corr
level_075mps,1710.0,1758.3333333333333,49.4694069321861,-48.33333333333326,-0.9770348245698489,56.0,72.83333333333333,4.879093722768149,-16.83333333333333,-3.450094270638854,18811.0,25459.166666666668,9042.89207825068,-6648.166666666668,-0.73518146729286,0.7235977649688721,0.7107873360315958,0.011184917003399875,0.012810428937276241,1.1453296864058446,0.1398186832666397,0.17241820196310678,0.02282811210407125,-0.03259951869646707,-1.4280420679304653,1.5314935445785522,1.085040420293808,0.15912312719144187,0.44645312428474426,2.805708410258492,1.572188377380371,1.2310041785240173,0.12374385833462768,0.34118419885635376,2.757180646185432,0.5497364401817322,0.6740987598896027,0.08460480027040403,-0.12436231970787048,-1.469920200877446,0.2143552154302597,0.24375969419876733,0.028960266767759976,-0.02940447876850763,-1.0153383202898862,0.15228192508220673,0.18702237059672674,0.021201722160905125,-0.03474044551452002,-1.6385663799007688,0.19839054346084595,0.17997495085000992,0.025731865265108327,0.01841559261083603,0.7156723876944575,13.858891487121582,13.330090045928955,1.034393212227013,0.528801441192627,0.511218973432691,13.734505653381348,13.619802792867025,1.1285108620014621,0.11470286051432232,0.10164089984431601,0.17898605345178822,0.20003038383739338,0.07171976579117856,-0.02104433038560516,-0.2934243749851988,0.20203032559499998,0.2339364472623998,0.08622192464071508,-0.03190612166739981,-0.3700464597593631
level_100mps,1710.0,1764.2857142857142,48.06458240360206,-54.28571428571422,-1.129432766492768,56.0,73.42857142857143,4.746642207381758,-17.42857142857143,-3.6717685113804537,18731.0,24816.0,8881.867322970837,-6085.0,-0.6851036813233794,0.9622951149940491,0.9514814615249634,0.008750765759207796,0.010813653469085693,1.235736552580185,0.18556568026542664,0.21332439567361558,0.017138472415888877,-0.027758715408188944,-1.6196717267366787,1.865317463874817,1.6477595056806291,0.17061370805339815,0.21755795819418777,1.275149270975369,1.794573187828064,1.5612696749823434,0.15215674867261333,0.2333035128457206,1.5333102182316194,0.5407023429870605,0.9043163997786385,0.0702649121283959,-0.363614056791578,-5.174901583568852,0.26146358251571655,0.2888878881931305,0.02105153589164361,-0.02742430567741394,-1.3027217012267014,0.1837186962366104,0.18629020026751927,0.032035423789374046,-0.002571504030908861,-0.08027061683684186,0.22074685990810394,0.23486106097698212,0.04872560025628421,-0.014114201068878174,-0.2896669943104067,14.841232299804688,14.83365181514195,1.2564415953265449,0.007580484662737419,0.006033296438609478,14.673930168151855,14.932865824018206,1.4118204136211907,-0.2589356558663507,-0.18340551782230516,0.1781432469927877,0.20102932563761364,0.11026914013973402,-0.022886078644825947,-0.2075474293202089,0.21036182926315572,0.2415731815627953,0.09244974161944008,-0.03121135229963959,-0.3376034197270526
level_125mps,1710.0,1764.2857142857142,48.06458240360206,-54.28571428571422,-1.129432766492768,56.0,73.42857142857143,4.746642207381758,-17.42857142857143,-3.6717685113804537,18809.0,19230.0,257.40906854932007,-421.0,-1.6355290136290606,1.1991640329360962,1.1839416367667062,0.011218902164610424,0.015222396169390029,1.356851354751526,0.2390240877866745,0.2705300450325012,0.0198083578697458,-0.03150595724582672,-1.5905377693407627,2.2090556621551514,2.287397708211626,0.29807377451162276,-0.07834204605647477,-0.262827696118375,2.951103448867798,1.954488754272461,0.2635187636248391,0.9966146945953369,3.7819495016858893,1.0121315717697144,1.0815341302326746,0.13511724596199093,-0.06940255846296028,-0.5136468911304972,0.468721866607666,0.3950859861714499,0.056939833623958394,0.0736358804362161,1.293222386111938,0.1753207892179489,0.20256670670849936,0.040689169904214076,-0.027245917490550442,-0.6696108782405971,0.3221037685871124,0.2826672387974603,0.06357945926726358,0.03943652978965212,0.6202714530987378,16.580554962158203,16.02986744471959,0.7202301519580423,0.5506875174386145,0.7645993552137509,16.256044387817383,16.05953053065709,0.8103020009935109,0.19651385716029424,0.2425192761392122,0.2528706483477887,0.2194377946050074,0.07970624238893072,0.03343285374278132,0.41945083027670166,0.298671852461171,0.2600332753247025,0.09639539148982666,0.03863857713646851,0.40083423627367054
accel_sine,1710.0,1764.2857142857142,48.06458240360206,-54.28571428571422,-1.129432766492768,56.0,73.42857142857143,4.746642207381758,-17.42857142857143,-3.6717685113804537,19088.0,19985.0,770.5790030879377,-897.0,-1.164059747792005,0.9553672075271606,0.9512791378157479,0.010990305828269462,0.004088069711412734,0.3719701758613103,0.349560022354126,0.3522811872618539,0.008290272969482437,-0.0027211649077279465,-0.3282354676848659,1.9221727848052979,1.932613832609994,0.20032136236833303,-0.010441047804696124,-0.05212148699489767,2.440747022628784,1.7593281950269426,0.2003379939906224,0.6814188276018416,3.4013457957469617,0.8443651795387268,0.9466082794325692,0.12770337534653392,-0.10224309989384239,-0.8006295182887839,0.3635910451412201,0.3471328616142273,0.04681837156826628,0.016458183526992798,0.351532517265574,0.18941889703273773,0.19700840967042105,0.026381445503805456,-0.0075895126376833155,-0.2876836206625729,0.28016000986099243,0.2515268623828888,0.03090318660005382,0.028633147478103638,0.9265432262128434,15.600975036621094,15.252225058419365,0.8146917069406359,0.34874997820172915,0.4280760083229636,15.46606159210205,15.248046875,0.9323228802290233,0.21801471710205078,0.23384035658343202,0.24423617600875727,0.2172817318386834,0.10007065159639542,0.026954444170073866,0.2693541117853944,0.31956474300627796,0.2711370258250381,0.12941339522789636,0.04842771718123984,0.37420943445510046
decline_5deg,1710.0,1764.2857142857142,48.06458240360206,-54.28571428571422,-1.129432766492768,56.0,73.42857142857143,4.746642207381758,-17.42857142857143,-3.6717685113804537,18942.0,19032.571428571428,96.18710508001303,-90.57142857142753,-0.9416171584192052,0.7125767469406128,0.7143654993602208,0.0021771558340524014,-0.001788752419607964,-0.8215967711924471,0.16128046810626984,0.16209482508046286,0.0061933659423962185,-0.0008143569741930201,-0.13148838077443514,2.0287020206451416,1.8622889518737793,0.35706200175509495,0.1664130687713623,0.46606209367773144,1.9571144580841064,1.46040712084089,0.2075270612243753,0.4967073372432165,2.393458040499129,0.8740773797035217,0.6773440156664167,0.06204591119607831,0.19673336403710506,3.170770297944095,0.3776225447654724,0.296470901795796,0.053711566820654054,0.08115164296967642,1.51087805968993,0.12695522606372833,0.15283530737672532,0.00940425233257347,-0.02588008131299699,-2.7519522954348425,0.261252760887146,0.2496174978358405,0.0688107062849413,0.011635263051305494,0.1690908579286477,11.266404151916504,10.560259410313197,1.430896095797394,0.7061447416033069,0.4934982622024779,11.4663667678833,10.784788949148995,1.3871065494849881,0.681577818734306,0.4913665890148812,0.21848062994644513,0.10026177388807767,0.07352925477049574,0.11821885605836746,1.607779656540287,0.21605585930085877,0.07625402175751703,0.04745145633510402,0.13980183754334174,2.946206900247423
incline_10deg,1710.0,1764.2857142857142,48.06458240360206,-54.28571428571422,-1.129432766492768,56.0,73.42857142857143,4.746642207381758,-17.42857142857143,-3.6717685113804537,18844.0,19085.714285714286,168.14000483076535,-241.71428571428623,-1.4375774875419944,0.7054616212844849,0.7057495032038007,0.005381987979459846,-0.0002878819193158355,-0.05348978584059748,0.1538425236940384,0.16719648241996765,0.01843481061407951,-0.01335395872592926,-0.7243877771031976,1.6262825727462769,1.8262294019971574,0.3658623620170048,-0.1999468292508806,-0.5465083171810501,1.7769612073898315,1.669609444481986,0.2093311038961222,0.10735176290784554,0.512832330128991,0.8263978958129883,1.0786307198660714,0.13399210122689253,-0.2522328240530831,-1.882445330128207,0.22804273664951324,0.3009447008371353,0.06564670904106755,-0.07290196418762207,-1.1105195393240561,0.1841050535440445,0.19222801604441234,0.05215596113071569,-0.008122962500367842,-0.15574367276202566,0.24581870436668396,0.2414861364024026,0.01655111611821299,0.004332567964281359,0.261768772308113,18.6712703704834,19.88199179513114,1.3555654379441888,-1.2107214246477405,-0.8931486314319131,18.251815795898438,19.476194654192245,1.54804952696277,-1.2243788582938073,-0.7909171050792111,0.26642224264065606,0.212467642966423,0.091311578424624,0.05395459967423305,0.5908844715670626,0.22352729214293865,0.2183814110216571,0.07720604904171652,0.005145881121281559,0.06665126008440737
stopandgo,1710.0,1764.2857142857142,48.06458240360206,-54.28571428571422,-1.129432766492768,56.0,73.42857142857143,4.746642207381758,-17.42857142857143,-3.6717685113804537,38002.0,38936.57142857143,1342.7395085254257,-934.5714285714275,-0.696018418040591,0.47891631722450256,0.4789243681090219,0.0037884261561069643,-8.050884519328338e-06,-0.002125120811749804,0.4539913833141327,0.4345429113933018,0.014541698526911421,0.01944847192083088,1.3374268838382244,1.0827178955078125,1.114398411342076,0.10570527709764811,-0.031680515834263456,-0.2997060667835633,1.2853002548217773,1.1196188075201852,0.05831075373850717,0.16568144730159218,2.841352722536538,0.546467661857605,0.6622715166636876,0.10132594523874279,-0.11580385480608257,-1.142884412322856,0.19744913280010223,0.22326365326132094,0.020599525027226753,-0.02581452046121871,-1.253160346925269,0.12672048807144165,0.15490762250764029,0.01708152816136635,-0.028187134436198635,-1.6501520044576565,0.16336128115653992,0.17313240255628312,0.017599156795947844,-0.009771121399743204,-0.5552036362308342,12.521607398986816,12.822935240609306,1.165978479989002,-0.3013278416224896,-0.2584334481379085,12.14027214050293,12.46058395930699,1.1289291339104053,-0.32031181880405946,-0.283730666828706,0.6091314758232736,0.5368049026385321,0.07684906922250652,0.07232657318474156,0.9411508103477645,0.627211314099966,0.5804986564958723,0.0784513377429885,0.04671265760409371,0.5954347369165318
