metric,mean,std,min,max
mae,0.055542357,0.02745493555154749,0.03189994,0.11436171
rmse,0.07795758224999999,0.033401590446494746,0.050061576,0.15036286
r2,0.94553219875,0.05007178334220566,0.8282453,0.9803913
lag_ms,-5.934027777777778,7.681632756918891,-12.5,8.75
smoothness,0.008743710387499999,0.0011009423409514057,0.0074390788,0.010397528
