condition,level,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,onset_mean,onset_std,decay_mean,decay_std
accel_sine,lv0,0.04603310651145871,0.010378899198677526,0.05849097017198796,0.012246680506906398,0.9662652170199848,0.014191891975132712,-0.019983991514891362,0.04136708299126993,0.16285997582599515,0.052493498725095476
decline_5deg,lv0,0.0195659673772752,0.002702217194380494,0.03029842628166075,0.0032148270015593056,0.9398888434787711,0.012683060628072618,-0.06812489964067932,0.02732292719301714,0.2001236658543348,0.03790532011772988
incline_10deg,lv0,0.02207700838334855,0.003311872099181838,0.034733132226392585,0.008344489587152167,0.9264772123347654,0.03589601150830778,-0.08052410208620127,0.049817766324915295,0.13823647424578664,0.031433871277942546
level_075mps,lv0,0.019596913771238126,0.0032644015508101957,0.02814405818935479,0.0045739881202947735,0.9435664199408091,0.018136345822371582,-0.036225235904566916,0.029010100134091544,0.14222323987632987,0.02468610509186239
level_100mps,lv0,0.02244864148087794,0.0027055700513367036,0.030521875247359238,0.0036220551055526303,0.973012628634816,0.006330366901763502,-0.044763886078726466,0.02167245307066094,0.0717505477368831,0.026434640013512284
level_125mps,lv0,0.027577951550483662,0.007372820423930501,0.03657762263901526,0.007996360641555513,0.978346138084189,0.009070157660746647,-0.06259851425420489,0.03287994841529474,0.051019559938140405,0.04107149924063394
stopandgo,lv0,0.032519987667910685,0.007858082521597963,0.05008759780321266,0.013404971864394691,0.9874449204192035,0.006520250299203848,-0.049926453124498935,0.03439147994382233,0.044167756859678726,0.030750950378186155
