group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_S3A5_W2_switch_wo_priors,0.051400498,0.08237706,0.94980067,9.5,0.051400498,0.0
exp_S3A5_K3_privkin_memory_wo,0.05198446,0.078033805,0.9549545,-6.5,0.05198446,0.0
exp_S3A5_K2_privkin_memory,0.059760414,0.08913708,0.9412237,8.0,0.059760414,0.0
exp_S3A5_W1_memory_wo_priors,0.059785556,0.09463316,0.93375206,13.0,0.059785556,0.0
exp_S3A5_S1_factorized_wo,0.063882284,0.09909411,0.9273591,5.0,0.063882284,0.0
exp_S3A5_R0_t1_reference,0.078492224,0.10498611,0.91846406,21.0,0.078492224,0.0
exp_S3A5_K1_structured_aux_kin,0.07962771,0.115325116,0.901614,6.0,0.07962771,0.0
