experiment,fold,test_mae,test_rmse,test_huber,n_params,model_size_mb,host_latency_ms,host_max_freq_hz,metric_source
exp_S2A8F_feat_normload_worksplit_teacher,m2_S007,3.0226194858551025,3.923475742340088,2.3227421105107338,225624,0.8607,2.3331,428.61,metrics_json_fallback
exp_S2A8F_feat_normload_worksplit_teacher,m2_S008,2.043182611465454,2.5967071056365967,2.5024784610729025,225624,0.8607,1.8988,526.64,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S001,2.4735450744628906,3.0528156757354736,2.1286833982619027,225042,0.8585,2.3055,433.75,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S002,2.715625286102295,3.542681932449341,2.4715165334511857,225042,0.8585,2.1428,466.69,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S003,3.6521263122558594,6.911203861236572,2.6054935936819072,225042,0.8585,2.4145,414.17,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S004,2.9333407878875732,3.5244810581207275,2.8886020553303275,225042,0.8585,2.3067,433.53,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S005,2.641754388809204,3.3122339248657227,2.3344497714968893,225042,0.8585,2.2713,440.28,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S006,2.406858444213867,2.984726905822754,2.3634545678893724,225042,0.8585,2.0658,484.07,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S007,2.9181830883026123,3.831056833267212,2.256559452795763,225042,0.8585,1.7498,571.5,metrics_json_fallback
exp_S2A8F_feat_trunk_consistency_teacher,m2_S008,1.94540274143219,2.495392322540283,2.4983670603145254,225042,0.8585,1.93,518.14,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S001,2.3796539306640625,2.899334669113159,2.1182728089983502,225236,0.8592,1.9296,518.25,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S002,2.1926445960998535,2.801553249359131,2.217315185465207,225236,0.8592,1.9898,502.55,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S003,3.902627468109131,7.061407089233398,2.6985479577744824,225236,0.8592,1.8436,542.41,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S004,2.868372678756714,3.5006461143493652,2.975503981113434,225236,0.8592,1.8173,550.27,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S005,2.97318434715271,3.7630159854888916,2.4279815421687614,225236,0.8592,1.8575,538.34,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S006,2.533966064453125,3.2084596157073975,2.4211457690431013,225236,0.8592,1.872,534.2,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S007,3.031654119491577,4.107626914978027,2.3488797500081686,225236,0.8592,1.8045,554.18,metrics_json_fallback
exp_S2A8F_feat_lag_teacher,m2_S008,2.0210957527160645,2.570138931274414,2.5017412276781767,225236,0.8592,2.0839,479.87,metrics_json_fallback
