group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_J7_hybrid_longwin_envelope,0.05043004,0.093228586,0.93468326,24.5,0.05043004,0.0
exp_J5_hybrid_multiscale_power_timing,0.069685414,0.11308239,0.9039016,21.5,0.069685414,0.0
exp_J4_hybrid_power_envelope_prior,0.0786323,0.12603308,0.88236594,46.0,0.0786323,0.0
exp_J2_hybrid_signed_power,0.079517834,0.12710801,0.8803508,34.5,0.079517834,0.0
exp_J1_hybrid_power_base,0.09345908,0.14146683,0.8517915,16.5,0.09345908,0.0
exp_J3_hybrid_power_timing,0.096629016,0.14183533,0.85101837,9.0,0.096629016,0.0
exp_J8_hybrid_all_best_shot,0.10005461,0.14565235,0.8405732,73.5,0.10005461,0.0
exp_J6_hybrid_wide_dualbranch,0.10694749,0.16394876,0.7994923,57.5,0.10694749,0.0
