group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_S3A3_Q1_p6_reference,0.058467336,0.09066473,0.93919176,15.0,0.058467336,0.0
exp_S3A3_Q0_p4_reference,0.059714105,0.09318144,0.935769,11.5,0.059714105,0.0
exp_S3A3_Q7_p6_invariant_dro,0.065374576,0.10280043,0.9218236,23.5,0.065374576,0.0
exp_S3A3_Q3_p4_anchor_confidence,0.06558666,0.10065456,0.9250533,30.5,0.06558666,0.0
exp_S3A3_Q11_paper_anchorplus_dro,0.06705057,0.099996224,0.9260305,31.5,0.06705057,0.0
exp_S3A3_Q2_r1_reference,0.06811452,0.104011334,0.9199711,30.5,0.06811452,0.0
exp_S3A3_Q8_p7_fullcontext_plateau,0.071082845,0.1012706,0.9241331,34.5,0.071082845,0.0
exp_S3A3_Q10_paper_anchorplus,0.07306869,0.10739702,0.91467625,26.5,0.07306869,0.0
exp_S3A3_Q4_p4_fullcontext_plateau,0.0757868,0.11354922,0.90462077,39.5,0.0757868,0.0
exp_S3A3_Q6_p6_fullcontext_plateau,0.07747195,0.11371362,0.9043444,32.0,0.07747195,0.0
exp_S3A3_Q9_r1_streaming_anchorplus,0.08293182,0.11980775,0.8926723,41.5,0.08293182,0.0
exp_S3A3_Q12_split_off_on_anchorplus,0.08812478,0.119948305,0.8935676,17.0,0.08812478,0.0
exp_S3A3_Q5_p4_calibrator_finetune,0.41657433,0.5109465,-0.9312407,177.0,0.41657433,0.0
