Feature,Subject,Mean,Std
robot/back_imu/quat_w,m2_S001,0.6675923439102808,0.02915999717515992
robot/back_imu/quat_w,m2_S002,0.6722284286046367,0.019712387223257268
robot/back_imu/quat_w,m2_S003,-0.5347133984445969,0.4023321243156002
robot/back_imu/quat_w,m2_S004,0.681782056523185,0.026160234283779622
robot/back_imu/quat_w,m2_S005,0.39572163260928905,0.5461531664887648
robot/back_imu/quat_w,m2_S006,0.7027445063533887,0.020363881427839927
robot/back_imu/quat_w,m2_S007,0.6878496748110845,0.01705272626335759
robot/back_imu/quat_w,m2_S008,0.6759847021070425,0.027116547921251465
robot/back_imu/quat_x,m2_S001,-0.22617459859832278,0.02782808705269589
robot/back_imu/quat_x,m2_S002,-0.23504427149835885,0.021852594531451455
robot/back_imu/quat_x,m2_S003,0.20193810989765232,0.1251293575114855
robot/back_imu/quat_x,m2_S004,-0.2085195152570101,0.02635278662244103
robot/back_imu/quat_x,m2_S005,-0.1402745310611083,0.20194093546919606
robot/back_imu/quat_x,m2_S006,-0.19045700793132808,0.02433577957403868
robot/back_imu/quat_x,m2_S007,-0.21984832063523344,0.035088403178112466
robot/back_imu/quat_x,m2_S008,-0.2033148914323456,0.02356185534943345
robot/back_imu/quat_y,m2_S001,-0.6579809179534233,0.028718273177796825
robot/back_imu/quat_y,m2_S002,-0.6539465074002828,0.02400582969048673
robot/back_imu/quat_y,m2_S003,0.5255725928346489,0.3841985735931296
robot/back_imu/quat_y,m2_S004,-0.6631611195875545,0.023373396002634293
robot/back_imu/quat_y,m2_S005,-0.36281447638174724,0.5321836236009108
robot/back_imu/quat_y,m2_S006,-0.6462775952739708,0.021024847415913653
robot/back_imu/quat_y,m2_S007,-0.6514639590064881,0.018387474222395467
robot/back_imu/quat_y,m2_S008,-0.6703376150313081,0.024255746454527636
robot/back_imu/quat_z,m2_S001,-0.2583149704929486,0.03241483174209408
robot/back_imu/quat_z,m2_S002,-0.25095310274783394,0.02823801330901371
robot/back_imu/quat_z,m2_S003,0.23099748685326119,0.13630613637757905
robot/back_imu/quat_z,m2_S004,-0.22215842467657473,0.025114669495666087
robot/back_imu/quat_z,m2_S005,-0.15248252837031548,0.21577683520034835
robot/back_imu/quat_z,m2_S006,-0.22386211038324455,0.025269113997756016
robot/back_imu/quat_z,m2_S007,-0.225603097852301,0.036977733987976394
robot/back_imu/quat_z,m2_S008,-0.2231108769276896,0.02642262020995133
robot/left/hip_angle,m2_S001,19.730133132273753,19.71011920399429
robot/left/hip_angle,m2_S002,12.672002266479256,17.04165372460446
robot/left/hip_angle,m2_S003,20.343519912767217,21.14002142633669
robot/left/hip_angle,m2_S004,18.186184183948058,21.513722202595957
robot/left/hip_angle,m2_S005,19.911317790569413,20.739531826573646
robot/left/hip_angle,m2_S006,16.67249135316031,21.071492756440477
robot/left/hip_angle,m2_S007,16.729695215781256,20.282777763370856
robot/left/hip_angle,m2_S008,27.77129750066266,20.816393098919857
robot/left/thigh_angle,m2_S001,16.869199740229707,19.009592656091275
robot/left/thigh_angle,m2_S002,8.25489599402797,16.326838480688387
robot/left/thigh_angle,m2_S003,16.604183592819513,20.679230969627508
robot/left/thigh_angle,m2_S004,13.60263144311467,20.587139233640972
robot/left/thigh_angle,m2_S005,13.807800213926388,19.65724075433091
robot/left/thigh_angle,m2_S006,16.113456152755276,20.435228221364653
robot/left/thigh_angle,m2_S007,13.218216209656092,19.272540344517296
robot/left/thigh_angle,m2_S008,20.542131035792345,19.94248895593401
robot/left/torque,m2_S001,0.27257549278866855,2.122613271028688
robot/left/torque,m2_S002,0.23276690223124485,2.018441636161357
robot/left/torque,m2_S003,0.29624865151301044,2.2709458197482375
robot/left/torque,m2_S004,0.33640495904893947,2.5900113229317134
robot/left/torque,m2_S005,0.237031084367218,2.1613715029123424
robot/left/torque,m2_S006,0.34938395389999494,2.475843368483666
robot/left/torque,m2_S007,0.3037875364994737,2.379104254823372
robot/left/torque,m2_S008,0.3530402804465244,2.448752553041557
robot/right/hip_angle,m2_S001,18.221179681830595,19.78276132594862
robot/right/hip_angle,m2_S002,14.269783739746154,17.365536927800733
robot/right/hip_angle,m2_S003,17.80191302826675,21.823687852719225
robot/right/hip_angle,m2_S004,14.990303283255411,21.409571972458647
robot/right/hip_angle,m2_S005,20.96278581804558,20.611353321155356
robot/right/hip_angle,m2_S006,15.209365671691902,19.39483424046191
robot/right/hip_angle,m2_S007,16.51201174025341,19.68050018209199
robot/right/hip_angle,m2_S008,23.253249109949454,20.84741797073417
robot/right/thigh_angle,m2_S001,15.359412919390037,18.46507652069009
robot/right/thigh_angle,m2_S002,9.853219447780027,16.113657668531864
robot/right/thigh_angle,m2_S003,14.061329001932894,20.76566583178122
robot/right/thigh_angle,m2_S004,10.404898926227286,20.802929753437777
robot/right/thigh_angle,m2_S005,14.859949375351674,19.77259271187455
robot/right/thigh_angle,m2_S006,14.651447620601582,18.813050858352476
robot/right/thigh_angle,m2_S007,13.000704677119044,19.675009241967572
robot/right/thigh_angle,m2_S008,16.022570368134947,19.609391350435807
robot/right/torque,m2_S001,0.27090883268185756,2.1266131380825666
robot/right/torque,m2_S002,0.237680012780833,2.016612728251646
robot/right/torque,m2_S003,0.2702007062902476,2.2676041287888236
robot/right/torque,m2_S004,0.3116235441272269,2.5742361149347937
robot/right/torque,m2_S005,0.2666590176377848,2.158472556684103
robot/right/torque,m2_S006,0.3718563195468427,2.4326286701180995
robot/right/torque,m2_S007,0.2889913550056791,2.3641355923772305
robot/right/torque,m2_S008,0.3228562712431507,2.4157055464296566
