experiment_dir,test_mae,test_rmse,test_r2,host_latency_ms,host_max_freq_hz,model_size_mb,n_params
archive_season2/archive_8/exp_S2A8F_feat_norm_worksplit_teacher_Test-m2_S008_seed42,2.100118637084961,2.6516177654266357,,2.3021,434.38,0.8592,225236
archive_season2/archive_7/exp_S2A7_ctrl_tiny_kinpower_w100_Test-m2_S008_seed42,2.100579261779785,2.6576271057128906,,1.9815,504.66,0.0867,22720
archive_season2/archive_4/exp_S2A4_feat_quat_all_biomech_Test-m2_S008_seed42,2.102865219116211,2.618326425552368,,2.4412,409.63,0.8599,225430
archive_season2/archive_8/exp_S2A8F_feat_short_worksplit_teacher_Test-m2_S002_seed42,2.1028878688812256,2.7420156002044678,,2.5613,390.43,0.8607,225624
archive_season2/archive_8/exp_S2A8F_feat_short_worksplit_teacher_Test-m2_S008_seed42,2.1116104125976562,2.653226852416992,,2.3141,432.13,0.8607,225624
archive_season2/archive_4/exp_S2A4_feat_quat_asymmetry_Test-m2_S008_seed42,2.1147043704986572,2.6785213947296143,,2.469,405.02,0.8525,223490
archive_season2/archive_8/exp_S2A8F_feat_norm_load_coupling_teacher_Test-m2_S008_seed42,2.116865634918213,2.681506872177124,,2.4264,412.14,0.8592,225236
archive_season2/archive_7/exp_S2A7F_feat_load_coupling_teacher_Test-m2_S001_seed42,2.119927406311035,2.6797807216644287,,2.1877,457.1,0.8548,224072
archive_season2/archive_6/exp_S2A6_tiny_loadgate_kinpower_w100_smooth_Test-m2_S008_seed42,2.134488821029663,2.7013022899627686,,2.7353,365.59,0.09,23597
archive_season2/archive_7/exp_S2A7F_feat_load_coupling_teacher_Test-m2_S002_seed42,2.137148857116699,2.7169971466064453,,2.2876,437.14,0.8548,224072
archive_season2/archive_7/exp_S2A7F_feat_impedance_teacher_Test-m2_S001_seed42,2.1381969451904297,2.636018991470337,,2.2675,441.02,0.8607,225624
archive_season2/archive_8/exp_S2A8F_feat_normload_worksplit_teacher_Test-m2_S002_seed42,2.138824224472046,2.82482647895813,,2.3881,418.74,0.8607,225624
archive_season2/archive_7/exp_S2A7F_feat_load_coupling_teacher_Test-m2_S008_seed42,2.13985276222229,2.7282285690307617,,2.2909,436.52,0.8548,224072
archive_season2/archive_7/exp_S2A7_feat_best_physics_teacher_Test-m2_S008_seed42,2.1417088508605957,2.699474573135376,,2.4961,400.63,0.8747,229310
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed99_Test-m2_S008_seed42,2.1417932510375977,2.707181930541992,,1.7067,585.94,0.0867,22720
archive_season2/archive_2/exp_S2A2_ctx_bodyframe_mech_kin_win300_k7_Test-m2_S008_seed42,2.1424877643585205,2.7098634243011475,,2.0645,484.38,1.1641,305160
archive_season2/archive_6/exp_S2A6F_tiny_kinpower_w100_Test-m2_S008_seed42,2.1450867652893066,2.7274975776672363,,2.182,458.29,0.0867,22720
archive_season2/archive_5/exp_S2A5_ctrl_quat_res_noise001_Test-m2_S008_seed42,2.146970748901367,2.7272567749023438,,2.2911,436.47,0.8503,222908
archive_season1/archive_5/exp_A5_res_kin_power_Test-m2_S008_seed42,2.1475095748901367,2.756044626235962,,1.7437,573.5,0.8548,224072
archive_season2/archive_5/exp_S2A5_feat_kinpower_all_misalign_Test-m2_S008_seed42,2.1577608585357666,2.6966309547424316,,2.2166,451.13,0.871,228340
archive_season2/archive_6/exp_S2A6F_tiny_loadgate_kinpower_w100_smooth_Test-m2_S008_seed42,2.15891170501709,2.737603187561035,,1.9528,512.09,0.09,23597
archive_season1/archive_5/exp_A5_res_mech_power_Test-m2_S008_seed42,2.1614911556243896,2.722653865814209,,1.7176,582.22,0.8518,223296
archive_season1/archive_5/exp_A5_res_k7_Test-m2_S008_seed42,2.1654603481292725,2.7642624378204346,,1.7842,560.47,1.1582,303612
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed99_Test-m2_S001_seed42,2.167137622833252,2.706641435623169,,2.2951,435.71,0.8548,224072
archive_season2/archive_6/exp_S2A6F_tiny_kinpower_w100_Test-m2_S001_seed42,2.1685454845428467,2.7561075687408447,,2.1512,464.86,0.0867,22720
archive_season2/archive_4/exp_S2A4_feat_quat_gait_asymmetry_Test-m2_S008_seed42,2.1693050861358643,2.7380623817443848,,2.4876,402.0,0.854,223878
archive_season2/archive_5/exp_S2A5_feat_quat_all_misalign_Test-m2_S008_seed42,2.173489809036255,2.7403857707977295,,2.0663,483.95,0.8666,227176
archive_season2/archive_8/exp_S2A8F_feat_norm_worksplit_teacher_Test-m2_S001_seed42,2.17848801612854,2.7692813873291016,,2.2828,438.06,0.8592,225236
archive_season2/archive_7/exp_S2A7F_feat_impedance_teacher_Test-m2_S008_seed42,2.1835880279541016,2.7665584087371826,,1.7641,566.87,0.8607,225624
archive_season2/archive_6/exp_S2A6_tiny_kinpower_w100_Test-m2_S008_seed42,2.186295747756958,2.7832694053649902,,2.2635,441.8,0.0867,22720
archive_season2/archive_7/exp_S2A7_tiny_phase_trunk_w100_Test-m2_S008_seed42,2.1891002655029297,2.7791903018951416,,2.0514,487.48,0.0904,23710
archive_season2/archive_3/exp_S2A3_repr_rawimu6_quat_Test-m2_S008_seed42,2.190124273300171,2.7612428665161133,,5.0208,199.17,0.8525,223490
archive_season1/archive_5/exp_A5_res_deflection_Test-m2_S008_seed42,2.19240665435791,2.751375198364258,,1.7344,576.56,0.8518,223296
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed07_Test-m2_S008_seed42,2.1925482749938965,2.780008316040039,,2.1939,455.82,0.0867,22720
archive_season2/archive_8/exp_S2A8F_feat_lag_teacher_Test-m2_S002_seed42,2.1926445960998535,2.801553249359131,,1.9898,502.55,0.8592,225236
archive_season2/archive_7/exp_S2A7F_feat_worksplit_teacher_Test-m2_S002_seed42,2.193164348602295,2.797071695327759,,2.3705,421.86,0.8592,225236
archive_season2/archive_6/exp_S2A6F_ctrl_teacher_kinpower_Test-m2_S002_seed42,2.195709466934204,2.822354316711426,,2.3515,425.27,0.8548,224072
archive_season2/archive_8/exp_S2A8_ctrl_teacher_kinpower_Test-m2_S008_seed42,2.1999809741973877,2.752720594406128,,2.3274,429.66,0.8548,224072
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed07_Test-m2_S002_seed42,2.203212022781372,2.9069387912750244,,2.227,449.03,0.0867,22720
archive_season2/archive_1/exp_S2A1_bodyframe_mechpower_kinematics_Test-m2_S008_seed42,2.216456413269043,2.803903579711914,,1.7337,576.8,0.8548,224072
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed99_Test-m2_S002_seed42,2.2230496406555176,2.8842155933380127,,1.6574,603.37,0.0867,22720
archive_season2/archive_8/exp_S2A8F_feat_norm_load_coupling_teacher_Test-m2_S002_seed42,2.2237322330474854,2.837867021560669,,2.3785,420.43,0.8592,225236
archive_season2/archive_6/exp_S2A6F_tiny_kinpower_w100_Test-m2_S002_seed42,2.2256221771240234,2.8709020614624023,,2.4688,405.05,0.0867,22720
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed99_Test-m2_S001_seed42,2.2336888313293457,2.7997829914093018,,1.7476,572.21,0.0867,22720
