model,seed,mae_mean,mae_std,rmse_mean,rmse_std
teacher_kinpower,7,2.6598285734653473,0.6420145229651545,3.6229606568813324,1.5044186130706338
teacher_kinpower,42,2.6369350105524063,0.6250266070205825,3.606761485338211,1.4587588165661831
teacher_kinpower,99,2.6512970626354218,0.6374642557592609,3.6140795052051544,1.4783055395495983
tiny_kinpower_w100,7,2.7777799367904663,0.6487076391198004,3.768693834543228,1.4922983631901598
tiny_kinpower_w100,42,2.6344101428985596,0.49792195397339806,3.6293221414089203,1.3638174177958908
tiny_kinpower_w100,99,2.7048747837543488,0.6153311291779102,3.6911871135234833,1.4431012796577576
