group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_S3A6_U0_w2_reference,0.04913312,0.07996598,0.9526962,4.0,0.04913312,0.0
exp_S3A6_U9_k3_reference,0.054742076,0.08199057,0.9502706,-0.5,0.054742076,0.0
exp_S3A6_U6_multianchor_fusion,0.057015594,0.09253647,0.93665516,6.5,0.057015594,0.0
exp_S3A6_U3_predkin_cascade,0.057456117,0.08352163,0.94839597,-19.5,0.057456117,0.0
exp_S3A6_U5_assist_deconfound,0.059738263,0.09273157,0.9363878,-10.0,0.059738263,0.0
exp_S3A6_U1_stride_progression,0.059771232,0.09558429,0.9324137,11.0,0.059771232,0.0
exp_S3A6_U7_adaptive_bias_state,0.064626515,0.09991843,0.92614555,28.0,0.064626515,0.0
exp_S3A6_U2_pdr_hybrid,0.069152586,0.11113114,0.9086398,12.0,0.069152586,0.0
exp_S3A6_U8_monotone_progression,0.06965123,0.0998593,0.92623293,7.5,0.06965123,0.0
exp_S3A6_U4_progression_distill,0.09429735,0.12859672,0.87766653,-10.5,0.09429735,0.0
