1,19.3155625248766,-11.6764126060338,19.2995666191999,-10.6992028698327
1.229,19.2363934572478,-14.1682209989563,19.2238238975914,-13.0726556345687
1.51,19.1112447395997,-17.2677442932826,19.1120573684089,-15.923220522992
1.855,18.9456164031291,-20.8092936993136,18.9487335770629,-19.3145003141364
2.279,18.7115479471361,-24.9842626402747,18.7132220170465,-23.2961644077849
2.8,18.365901734106,-29.7115540174082,18.380245004353,-27.8799660806594
3.44,17.9055898614646,-34.9846953560268,17.9215902965863,-33.0216594527301
4.226,17.307342197198,-40.3642378734643,17.3100225643022,-38.6056191649989
5.192,16.4951438393171,-46.7076494037499,16.5242637405074,-44.4494286189977
6.379,15.5454583994847,-52.7769604713424,15.5556534992715,-50.3169856894589
7.838,14.4216364788088,-58.6432603276276,14.4098482086192,-55.9700848804902
9.63,13.2253396901596,-64.7172141999385,13.1066531420635,-61.2063201623199
11.831,11.6205966200934,-69.6397390202002,11.6728038837707,-65.898014535954
14.536,10.1750715153169,-73.6349182201537,10.1359477736802,-69.9927511979143
17.86,8.27002169474722,-77.7209596453041,8.52232457036368,-73.4929778743711
21.943,6.71064164528397,-81.4589227402197,6.85401548520526,-76.4390212447509
26.959,5.15007853117367,-85.7626574851426,5.14720552932133,-78.8926152051124
33.123,3.68885022076266,-90.5752139850007,3.41343952430922,-80.921404803633
40.696,2.07335223574897,-95.9337265065736,1.66165074885539,-82.5899394405918
50,0.513136323834116,-102.266388811629,-0.10226367510288,-83.9574530581641
