feature,subject,q01,q99,range_width,dominant_freq_hz,periodicity_score,autocorr_similarity,trace_similarity,range_width_z,dominant_freq_z,periodicity_z,autocorr_similarity_z,trace_similarity_z
a_tread,S005,-0.6872249999999969,0.606900000000003,1.2941249999999997,3.875927606641397,0.21537572525383952,0.5389483367787375,0.3290030990247936,0.5168356177614579,3.811350329790546,-0.7469014118673927,-26.52936908706362,-0.475414875629618
asymmetry_hip_diff,S002,-43.8574,40.84717,84.70456999999999,0.8007903905153138,0.968405851892656,0.8279568766353351,0.2537803145099985,0.7847114877303152,-1.6141232004860617,-1.3203086252464962,-3.6143474891613985,-0.7956808112036349
asymmetry_hip_diff,S003,-49.021,50.910700000000006,99.9317,0.8443129873621941,0.9785373890079588,0.9814826195514051,0.22062934229327671,4.73962590683843,-0.10495066814880107,0.6552760710426246,0.2326708994759735,-1.2457669274939633
asymmetry_hip_diff,S005,-40.7812,41.170130000000015,81.95133000000001,0.9075863541722279,0.9854847900275906,0.6557211669727908,0.296387046796171,0.0696175353397384,2.0890918324435743,2.009974669800879,-7.9301966077945165,-0.21721516207759953
asymmetry_hip_diff,S007,-42.794378,36.716300000000004,79.51067800000001,0.9127839911730778,0.9771132347063249,0.824725913039591,0.35314054581146426,-0.5642885117502285,2.269323058588915,0.37757512483450734,-3.6953083503808797,0.5533191616426445
asymmetry_thigh_diff,S002,-43.879400000000004,40.869170000000004,84.74857,0.8007903905153138,0.9684263982698393,0.8279585327035552,0.2537581306085036,0.785290681521571,-1.6141232004860617,-1.3230236060899316,-3.614665956768045,-0.7961376018016442
asymmetry_thigh_diff,S003,-49.043,50.932606,99.975606,0.8443129873621941,0.978543952449994,0.9814836772999685,0.2206526399021273,4.740180686182853,-0.10495066814880107,0.6510700565392974,0.2326507092090093,-1.2457210231446607
asymmetry_thigh_diff,S005,-40.78127,41.1548,81.93607,0.9075863541722279,0.9854964035719823,0.6557345659856944,0.29645698585163516,0.05480523851678292,2.0890918324435743,2.0076024215032855,-7.930572248054375,-0.21627314373034626
asymmetry_thigh_diff,S007,-42.816378,36.738299999999995,79.554678,0.9127839911730778,0.9771529681273972,0.824724509081106,0.3530929902666432,-0.5637093179589725,2.269323058588915,0.37966717723066173,-3.695710094609575,0.5528623710377
asymmetry_torque_diff,S002,-0.0641,0.0659,0.13,0.597992824086111,0.09267150733986705,0.9907253646377499,0.32213716315699986,0.4982404399471401,-5.053707400656685,-1.2802999018652144,-2.3910031581661375,0.8386723971166719
asymmetry_torque_diff,S003,-0.0696,0.0677,0.13729999999999998,2.5114278031728956,0.10191358474017559,0.9923441273308049,0.2859115029374253,1.5804050372735985,30.81251851707708,-0.2251505698067728,-0.302532467867969,-2.201927800389596
deflection_left,S002,6.3501,10.188730000000016,3.8386300000000153,1.5963808434298787,0.684852331192251,0.2993088181099262,0.03781852079737435,5.271093482813674,20.757913222405275,-9.929495051292635,-18.96679472118503,-0.7278842341078405
deflection_left,S005,-4.834000000000003,-3.6475,1.1865000000000032,0.9609737867705943,0.966780920652836,0.6743780643382978,0.11561426816468527,-1.2409621359993988,2.722854523774442,4.005526360470114,-8.355572560713034,-0.3160976154935946
deflection_left,S007,6.020499999999998,7.229,1.2085000000000017,0.9127839911730778,0.8879471788280713,0.842310947942029,0.0579894861182659,-1.1869432064545131,1.3550607871961282,0.10897268920416378,-3.6045215111079942,-0.6211157553058063
deflection_right,S002,5.3613,9.199930000000016,3.838630000000016,1.5963808434298787,0.6766130393879803,0.30400468049218965,0.09375783313624776,5.324866871769747,20.757913222405275,-9.49638230052187,-18.877079330492187,-0.6738732134849045
deflection_right,S005,-2.4170000000000016,-1.2305,1.1865000000000017,0.9609737867705943,0.965203230024855,0.6749220095685773,0.13064056394361354,-1.1871887470433637,2.722854523774442,3.5959577849287343,-8.357796419229654,-0.39337082272329393
deflection_right,S007,7.756299999999996,8.9648,1.2085000000000043,0.9127839911730778,0.8855341878222438,0.8422630550817218,0.048017085260205865,-1.133169817498468,1.3550607871961282,-0.01835146271700273,-3.6119739341963246,-1.0217430391077804
euler_pitch,S003,-83.82934319898891,-76.23827515094855,7.591068048040356,0.8443129873621941,0.24150628182147993,0.9668086095820589,0.8845817873795373,0.11761714210793918,-5.112562655443818,1.099101480417548,-1.4441331081170528,-1.9883658167032028
euler_pitch,S008,-84.63558474954242,-75.87279197870285,8.762792770839567,0.3084644743033408,0.3004006257548383,0.9983620168830593,0.9089684190693629,0.9424816747830499,-8.337734101476464,2.4634270294177103,0.891362760404241,-0.19934440853594548
euler_roll,S002,-32.96020974430216,75.18597514004162,108.14618488434378,0.8007903905153138,0.6892412989966386,0.8130073595069417,0.27733675902131755,8.40989033900511,-1.6141232004860617,-0.9569404775496347,-5.107899474164205,0.05484287802260193
euler_roll,S005,-31.0630198699662,19.0070266881046,50.0700465580708,0.9609737867705943,0.895543732786706,0.6877170292454625,0.23617231577092684,-4.320710307399473,3.9403335479350243,1.4457128433034132,-9.189962289901137,-0.48457554136782943
euler_roll,S006,-19.09712768637803,31.69608868457814,50.79321637095617,0.8797193276430854,0.8795934834686534,0.9658528987458905,0.35410085926270196,-4.162187610252202,1.1227857284292357,1.259951973746972,-0.12806510884287456,1.060758817812294
euler_yaw,S002,-0.6811952522089871,8.279715694610395,8.960910946819382,0.8007903905153138,0.40642096817064427,0.579360024401771,0.863508306440698,-1.430400660366367,-1.6141232004860617,-2.4001806709057,-7.530733640436168,-2.3044851688294585
euler_yaw,S006,-3.1100767914119847,4.283938971088921,7.394015762500906,0.8797193276430854,0.6810419790334798,0.9277500468347833,0.5446758870256696,-1.6360431839560072,1.1227857284292357,0.2400974478090066,0.0893699975718577,-10.82596188207087
global_accel_y_overground,S005,-4.250721782792475,3.397964862977003,7.648686645769478,0.9609737867705943,0.39566352472240035,0.6548807823823383,0.3059584114639583,0.6625601739974553,3.9403335479350243,-0.8358407446152477,-1.6033495956291524,0.4415269680669661
global_accel_y_overground,S006,-3.951827812752496,4.108137012548472,8.059964825300968,0.8797193276430854,0.5721985035565362,0.8405460082334516,0.23646797591333404,1.0620170259748352,1.1227857284292357,1.6748848686342013,-0.21796305553991321,-3.7594809939017373
left_hip_angle,S002,-16.5608,28.5425,45.103300000000004,0.8007903905153138,0.9351655055128314,0.8261177246941481,0.2562880813147542,-0.38563658861585665,-1.6141232004860617,2.0509357082905684,-3.5851421628838005,-1.1826984420101763
