feature,subject,q01,q99,range_width,dominant_freq_hz,periodicity_score,autocorr_similarity,trace_similarity,range_width_z,dominant_freq_z,periodicity_z,autocorr_similarity_z,trace_similarity_z
euler_roll,S001,-10.060724455347657,60.783694400060746,70.8444188554084,0.8408159028390512,0.7727419824527997,0.98615236041818,0.12581568185989236,0.23314339257169436,-0.22621420221954708,0.015530814784211956,0.5333081790955841,-1.930687679249682
euler_pitch,S001,-84.10215150290888,-77.54965930198658,6.552492200922302,1.6816318056781023,0.16807805639600693,0.9959445212943467,0.9240449154883922,-0.6135139538837028,-0.07289812667118029,-0.6019108286604571,0.7124264285606896,0.9066785632651814
euler_yaw,S001,-1.2354115978610802,21.619391273528418,22.8548028713895,0.8408159028390512,0.605498543988273,0.929617119941997,0.9780011322915476,0.39306208713901514,-0.22621420221954708,-0.48619686570958726,0.13020724795391048,0.7555798995574724
left_hip_angle,S001,-6.9434,38.8257,45.769099999999995,0.8408159028390512,0.8940566156009923,0.9941813219965252,0.3432505854859286,0.1384104380204065,-0.22621420221954708,-0.45328622537407454,0.5654822257703374,-0.10990539093797855
right_hip_angle,S001,-8.6572,38.2104,46.867599999999996,0.8408159028390512,0.9046711725444135,0.9946179496524751,0.3287728512164634,0.1186827282785252,-0.22621420221954708,0.12294496757554124,0.5672303766641269,-0.007177214551058171
left_torque,S001,-0.0476,0.0458,0.09340000000000001,2.6677739139461254,0.09794684598888528,0.9919883183430531,0.3093786260991008,-0.14627709080998896,0.6469594731200458,-0.03383910027041492,-0.17689783651287716,0.09503840211835564
right_torque,S001,-0.0385,0.0403,0.07880000000000001,0.8408159028390512,0.09851510380511996,0.9930155745167498,0.31547779156946526,0.22483325006176158,-1.3667626517505957,0.08232523797343579,0.6201416024026228,1.5613651973653977
left_thigh_angle,S001,-9.0747,37.3096,46.3843,0.8408159028390512,0.8811338240941918,0.9943754509621002,0.3229618747796108,0.175363041854814,-0.22621420221954708,-0.6780617849724325,0.5688960632483504,-0.13844844170434112
right_thigh_angle,S001,-10.2393,35.9473,46.1866,0.8408159028390512,0.8845436765828906,0.9945858722520142,0.3114346754570987,-0.2889891305908925,-0.22621420221954708,-0.5635805425836884,0.5704503118075963,-0.13057408628830763
deflection_left,S001,-4.5703,-2.9004000000000003,1.6698999999999993,0.8408159028390512,0.8778569737954688,0.9844365958700629,0.6321632720179341,-0.05401892954488869,-0.6876434666038118,-0.389760778896451,0.41640753074452835,2.418087411883165
