Feature,Subject,Mean,Std
robot/back_imu/accel_x,m1_S004,9.693272590637207,2.4637818336486816
robot/back_imu/accel_x,m1_S005,9.637375831604004,2.5159003734588623
robot/back_imu/accel_x,m1_S006,9.696953773498535,1.8302714824676514
robot/back_imu/accel_x,m1_S007,9.724674224853516,1.860473871231079
robot/back_imu/accel_x,m1_S008,9.705427169799805,1.8989444971084595
robot/back_imu/accel_x,m1_S009,9.593830108642578,2.076807737350464
robot/back_imu/accel_x,m1_S010,9.541953086853027,2.582625150680542
robot/back_imu/accel_x,m1_S011,9.709171295166016,2.1639976501464844
robot/back_imu/accel_x,m2_S001,9.758828866481515,1.7688855549083848
robot/back_imu/accel_x,m2_S002,9.772969496645137,1.3744897210968632
robot/back_imu/accel_x,m2_S003,9.765033179996765,1.8115609228802112
robot/back_imu/accel_x,m2_S004,9.766183394806394,1.8063481355004758
robot/back_imu/accel_x,m2_S005,9.75514295463535,1.9629474021938447
robot/back_imu/accel_x,m2_S006,9.733541069131205,1.5832604271314292
robot/back_imu/accel_x,m2_S007,9.774400748401286,2.14368239743633
robot/back_imu/accel_x,m2_S008,9.766262666197374,1.627709414134935
robot/back_imu/accel_y,m1_S004,0.5710338354110718,1.5698835849761963
robot/back_imu/accel_y,m1_S005,0.6985934972763062,1.6355860233306885
robot/back_imu/accel_y,m1_S006,0.4640105068683624,1.6296817064285278
robot/back_imu/accel_y,m1_S007,0.2974260449409485,1.8442319631576538
robot/back_imu/accel_y,m1_S008,0.36102062463760376,1.7054544687271118
robot/back_imu/accel_y,m1_S009,0.353378564119339,2.03086256980896
robot/back_imu/accel_y,m1_S010,0.048120107501745224,1.9996850490570068
robot/back_imu/accel_y,m1_S011,0.1752300262451172,1.4859315156936646
robot/back_imu/accel_y,m2_S001,0.3637930536046817,1.6553659412370598
robot/back_imu/accel_y,m2_S002,0.10802011459991916,1.765530430947376
robot/back_imu/accel_y,m2_S003,0.35611475954841826,2.0303286208386586
robot/back_imu/accel_y,m2_S004,0.10037085791851409,2.4848074339373225
robot/back_imu/accel_y,m2_S005,0.08099739472203497,2.7472243684213984
robot/back_imu/accel_y,m2_S006,0.20968659610927132,2.16318146439299
robot/back_imu/accel_y,m2_S007,-0.08486449087448329,2.268823024798377
robot/back_imu/accel_y,m2_S008,0.2379568152329306,2.2693109582713547
robot/back_imu/accel_z,m1_S004,-0.35355374217033386,1.753313422203064
robot/back_imu/accel_z,m1_S005,-0.32895156741142273,1.9265422821044922
robot/back_imu/accel_z,m1_S006,-0.2775023281574249,1.431307315826416
robot/back_imu/accel_z,m1_S007,-0.43582847714424133,1.3690322637557983
robot/back_imu/accel_z,m1_S008,-0.3173888325691223,1.6625182628631592
robot/back_imu/accel_z,m1_S009,-1.2999337911605835,1.9542161226272583
robot/back_imu/accel_z,m1_S010,-0.8924286365509033,2.2896337509155273
robot/back_imu/accel_z,m1_S011,0.3359416723251343,1.868230938911438
robot/back_imu/accel_z,m2_S001,0.31030569748076936,1.3686204216397189
robot/back_imu/accel_z,m2_S002,0.3493754999405248,1.068120712571809
robot/back_imu/accel_z,m2_S003,0.4183422253820376,1.3395630556861002
robot/back_imu/accel_z,m2_S004,0.3566767284529248,1.3174445557066132
robot/back_imu/accel_z,m2_S005,0.5270235355234789,1.3875132597096642
robot/back_imu/accel_z,m2_S006,0.9207852996473475,1.158766229106334
robot/back_imu/accel_z,m2_S007,0.5592011122290741,1.2760557749316253
robot/back_imu/accel_z,m2_S008,0.20530916426588103,2.145515460137409
robot/back_imu/gyro_x,m1_S004,8.481544500682503e-05,0.30177903175354004
robot/back_imu/gyro_x,m1_S005,0.0007768413051962852,0.34415945410728455
robot/back_imu/gyro_x,m1_S006,0.0014750611735507846,0.30928799510002136
robot/back_imu/gyro_x,m1_S007,-0.0008452830952592194,0.32054808735847473
robot/back_imu/gyro_x,m1_S008,-0.002118492964655161,0.32869938015937805
robot/back_imu/gyro_x,m1_S009,-0.005086611490696669,0.30675145983695984
robot/back_imu/gyro_x,m1_S010,-0.0006390389753505588,0.3545219302177429
robot/back_imu/gyro_x,m1_S011,-0.0009275777847506106,0.37755998969078064
robot/back_imu/gyro_x,m2_S001,0.0022927677589646583,0.25941645400231905
robot/back_imu/gyro_x,m2_S002,0.00164034322098459,0.31258782763877296
robot/back_imu/gyro_x,m2_S003,0.003011290929002564,0.3310515683084293
robot/back_imu/gyro_x,m2_S004,0.002588501206868271,0.42548418263662185
robot/back_imu/gyro_x,m2_S005,0.002149855711110245,0.40031909697026835
robot/back_imu/gyro_x,m2_S006,0.0025189605206260195,0.329211339225176
robot/back_imu/gyro_x,m2_S007,0.0034560380372489125,0.36502465347781243
robot/back_imu/gyro_x,m2_S008,0.0019829353895356155,0.38799726586988625
robot/back_imu/gyro_y,m1_S004,0.010439650155603886,0.14274334907531738
robot/back_imu/gyro_y,m1_S005,0.0076496959663927555,0.2068559229373932
robot/back_imu/gyro_y,m1_S006,0.01034577563405037,0.16077162325382233
robot/back_imu/gyro_y,m1_S007,0.0033996286801993847,0.12113339453935623
robot/back_imu/gyro_y,m1_S008,0.01436828076839447,0.11251454800367355
robot/back_imu/gyro_y,m1_S009,0.01241595484316349,0.15431317687034607
robot/back_imu/gyro_y,m1_S010,0.00837964192032814,0.1507207304239273
robot/back_imu/gyro_y,m1_S011,0.00896319281309843,0.1332358717918396
robot/back_imu/gyro_y,m2_S001,0.0009145911692860989,0.17209840983066374
robot/back_imu/gyro_y,m2_S002,0.0013987076292045146,0.19276108559054655
