group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_NA_A3_T1_tiltbase14_screen_noassist,0.06253669,0.08647221,0.93830365,-25.509259259259256,0.06253669,0.0
exp_NA_A3_T3_tiltlinvel10_screen_noassist,0.06683969,0.094737686,0.9233317,-9.25925925925926,0.06683969,0.0
exp_NA_A3_T6_tiltmin8_w200_screen_noassist,0.06720162,0.09747749,0.9232762,-21.435185185185187,0.06720162,0.0
exp_NA_A3_T2_tiltnoanchor12_screen_noassist,0.06774824,0.093795896,0.9288233,-23.75,0.06774824,0.0
exp_NA_A3_T5_tiltbase14_w200_screen_noassist,0.06986133,0.09658005,0.921268,-11.481481481481481,0.06986133,0.0
exp_NA_A3_T4_tiltbase14_xs_screen_noassist,0.07493838,0.10488423,0.9117985,-24.444444444444443,0.07493838,0.0
