group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_tcn_gru_head_h32_smooth,0.026187195132176082,0.050426101932923,0.9767525792121887,3084.1666666666665,-0.003917453500131764,-13.012785991887025
exp_tcn_gru_head_h32,0.026187195132176082,0.050426101932923,0.9767525792121887,3084.1666666666665,-0.003917453500131764,-13.012785991887025
exp_multistep_H10_overlap_median,0.026918505267558276,0.04784753964902988,0.9772275750079057,439.4444444444445,-0.0031861433647495697,-10.583559382022647
exp_multistep_H10_overlap_mean,0.02700756614235642,0.0477221699393278,0.9773567912776059,437.2222222222222,-0.0030970824899514277,-10.28772176609192
exp_multistep_H10_overlap_wmean,0.027075504319532942,0.047833942363161845,0.9772056057558256,450.5555555555556,-0.003029144312774904,-10.062048389178251
exp_multistep_H10_ema_a090,0.027341000114878018,0.04838574553529421,0.9765987396240234,468.7777777777778,-0.0027636485174298286,-9.180138759247711
exp_multistep_H10_smooth_lam01,0.027363465788463753,0.04844092018902302,0.9765454133351644,469.88888888888886,-0.0027411828438440936,-9.105513495023152
exp_multistep_H10_smooth_lam001,0.027363465788463753,0.04844092018902302,0.9765454133351644,469.88888888888886,-0.0027411828438440936,-9.105513495023152
exp_multistep_H10,0.027363465788463753,0.04844092018902302,0.9765454133351644,469.88888888888886,-0.0027411828438440936,-9.105513495023152
exp_multistep_H10_smooth_lam05,0.027363465788463753,0.04844092018902302,0.9765454133351644,469.88888888888886,-0.0027411828438440936,-9.105513495023152
Exp_IMU_Orientation,0.027558560172716778,0.04362637177109718,0.9821723103523254,7339.055555555555,-0.0025460884595910685,-8.457459479725154
exp_ar_feedback_k1,0.029455759872992832,0.04767115724583467,0.97661825021108,-4004.7777777777774,-0.0006488887593150139,-2.155443723128648
exp_ar_feedback_sched,0.029455759872992832,0.04767115724583467,0.97661825021108,-4004.7777777777774,-0.0006488887593150139,-2.155443723128648
exp_single_ema_a080,0.03005306888371706,0.04978210603197416,0.9761676788330078,-4412.277777777778,-5.1579748590786095e-05,-0.17133483011468037
exp_single_ema_a090,0.03007896648099025,0.04985342981914679,0.97610076268514,-4410.611111111111,-2.5682151317596436e-05,-0.08530958667305204
exp_single_ema_a095,0.030091744226713974,0.04988959555824598,0.9760668079058329,-4410.611111111111,-1.290440559387207e-05,-0.04286515930308271
baseline,0.030104648632307846,0.04992671497166157,0.9760319590568542,-4409.5,0.0,0.0
exp_tcn_gru_head_h64,0.03916458257784446,0.0671523567289114,0.9517978429794312,2329.6666666666665,0.009059933945536617,30.094800494743644
exp_multistep_H20,0.040772554775079094,0.06549160555005074,0.95887823899587,-2983.555555555556,0.010667906142771248,35.43607591328143
exp_multistep_H05,0.04883648486187061,0.0765609157582124,0.9232686360677084,-734.7777777777777,0.018731836229562763,62.22240444773052
