group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_H5_rt_dualbranch_small,0.063840926,0.112539075,0.9065409,22.0,0.063840926,0.0
exp_H8_rt_tiny_win150,0.06638783,0.108582415,0.91375697,24.0,0.06638783,0.0
exp_H3_rt_softprior_imuspeed,0.07895363,0.12821326,0.8786944,40.5,0.07895363,0.0
exp_H7_rt_dualbranch_softprior,0.07909655,0.12559204,0.88360363,27.5,0.07909655,0.0
exp_H1_rt_small_baseline,0.0795618,0.12332688,0.8877644,27.5,0.0795618,0.0
exp_H4_rt_dynamic_weighted,0.08035442,0.12437394,0.88585055,33.0,0.08035442,0.0
