group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_S2_imu_speed_only,0.011246484,0.030398196,0.9930558,2.5,-0.0020285882,-15.281184
baseline_modelbased,0.013275072,0.038215097,0.98902524,3.0,0.0,0.0
baseline_bodyframe,0.014922935,0.041776314,0.9868844,3.5,0.0016478626,12.413211
exp_S1_com_speed_only,0.016932601,0.045105007,0.9847111,8.5,0.0036575291,27.551859
exp_S4_no_raw_imu,0.020271651,0.04042154,0.9877213,2.5,0.0069965795,52.704643
exp_S3_no_grf,0.028525963,0.06479104,0.9684531,4.0,0.015250891,114.88368
exp_S6_residual_imu,0.62947226,0.8834347,-4.865099,113674.0,0.61619717,4641.761
exp_S5_residual_com,0.8024074,1.019488,-6.8107114,82072.0,0.7891323,5944.4673
exp_S7_residual_com_only,0.8250031,1.0401951,-7.1312275,70843.5,0.811728,6114.6787
