archive,channels,config_path,distill_weight,exp_name,experiment_dir,gru_hidden,host_latency_ms,input_groups,input_lpf,kernel_size,lag_ms,model_type,n_input_channels,n_input_groups,n_params,output_vars,prior_loss_weight,residual_skip,season,seed,smoothness,target_transform,test_mae,test_r2,test_rmse,test_subject,window,y_delay
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season2/archive_1/exp_S3_no_grf.yaml,,exp_S3_no_grf,exp_S3_no_grf_Test-m2_S008_seed42,32,2.5932,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/model_com_speed:1|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|sub_info:2,,5,,TCN_GRU,31,9,408449,treadmill/left/speed_leftbelt,,False,archive_season2,42,,,0.028523949906229973,,0.06478381156921387,m2_S008,,5
archive_round3,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round3/exp_G3_no_grf_enhanced.yaml,,exp_G3_no_grf_enhanced,exp_G3_no_grf_enhanced_Test-m2_S008_seed42,32,2.5293,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|sub_info:2,,5,,TCN_GRU,26,7,407541,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.028564786538481712,,0.06330409646034241,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G133_fusionimu_lite_w200_base_none.yaml,,exp_S3A1_G133_fusionimu_lite_w200_base_none,exp_S3A1_G133_fusionimu_lite_w200_base_none_Test-m2_S008_seed42,32,2.7301,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,,5,,FusionTCN_GRU,28,6,407972,common/v_Y_true,,False,archive_season3,42,,,0.02857322059571743,,0.041392046958208084,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G172_dualsoft_full_w200_compact_none.yaml,,exp_S3A1_G172_dualsoft_full_w200_compact_none,exp_S3A1_G172_dualsoft_full_w200_compact_none_Test-m2_S008_seed42,24,2.6779,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/model_com_speed:1|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,FusionTCN_GRU,39,11,143973,common/v_Y_true,0.005,False,archive_season3,42,,,0.028863534331321716,,0.04038752615451813,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G141_fusionimu_lite_w150_base_pglpf.yaml,,exp_S3A1_G141_fusionimu_lite_w150_base_pglpf,exp_S3A1_G141_fusionimu_lite_w150_base_pglpf_Test-m2_S008_seed42,32,2.6257,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,,5,,FusionTCN_GRU,28,6,407972,common/v_Y_true,,False,archive_season3,42,,,0.028864765539765358,,0.04125584289431572,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G091_imuint_lite_w300_base_none.yaml,,exp_S3A1_G091_imuint_lite_w300_base_none,exp_S3A1_G091_imuint_lite_w300_base_none_Test-m2_S008_seed42,32,2.4936,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,,5,,TCN_GRU,28,6,407873,common/v_Y_true,,False,archive_season3,42,,,0.028874767944216728,,0.04378069192171097,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G121_fusionimu_full_w150_base_none.yaml,,exp_S3A1_G121_fusionimu_full_w150_base_none,exp_S3A1_G121_fusionimu_full_w150_base_none_Test-m2_S008_seed42,32,2.6341,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,FusionTCN_GRU,38,10,409892,common/v_Y_true,,False,archive_season3,42,,,0.02896255999803543,,0.041532088071107864,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G002_raw_full_w300_base_glpf8.yaml,,exp_S3A1_G002_raw_full_w300_base_glpf8,exp_S3A1_G002_raw_full_w300_base_glpf8_Test-m2_S008_seed42,32,2.4088,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,8.0,5,,TCN_GRU,34,9,409025,common/v_Y_true,,False,archive_season3,42,,,0.02898245118558407,,0.043009575456380844,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G012_raw_full_w200_compact_pglpf.yaml,,exp_S3A1_G012_raw_full_w200_compact_pglpf,exp_S3A1_G012_raw_full_w200_compact_pglpf_Test-m2_S008_seed42,24,3.1585,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,143153,common/v_Y_true,,False,archive_season3,42,,,0.02899804525077343,,0.043339889496564865,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G061_bf_lite_w200_base_none.yaml,,exp_S3A1_G061_bf_lite_w200_base_none,exp_S3A1_G061_bf_lite_w200_base_none_Test-m2_S008_seed42,32,2.4495,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|sub_info:2,,5,,TCN_GRU,27,5,407681,common/v_Y_true,,False,archive_season3,42,,,0.0290312971919775,,0.04285523667931557,m2_S008,,5
