Feature,Subject,Mean,Std
forceplate/grf/left/x,m2_S001,0.03510097939644752,0.03552840454419875
forceplate/grf/left/x,m2_S002,0.03325423273316769,0.039854574947441754
forceplate/grf/left/x,m2_S003,0.03089758576661834,0.03399155219870237
forceplate/grf/left/x,m2_S004,0.04565021207967936,0.04388484516810997
forceplate/grf/left/x,m2_S005,0.031050147735904657,0.03271445469848705
forceplate/grf/left/x,m2_S006,0.03388127176657098,0.036076315413641695
forceplate/grf/left/x,m2_S007,0.042533729516122366,0.04229959008100871
forceplate/grf/left/x,m2_S008,0.037848955263855615,0.04223685467386089
forceplate/grf/left/y,m2_S001,0.012125214951220044,0.08836442896915332
forceplate/grf/left/y,m2_S002,0.01063013739522391,0.09103075716116173
forceplate/grf/left/y,m2_S003,0.01332736030379775,0.0856372120542813
forceplate/grf/left/y,m2_S004,0.01652643273787727,0.09846713269352365
forceplate/grf/left/y,m2_S005,0.013504077190007334,0.06359407337463395
forceplate/grf/left/y,m2_S006,0.022284665221463034,0.09063125038003239
forceplate/grf/left/y,m2_S007,0.014213396365622147,0.08443498377501572
forceplate/grf/left/y,m2_S008,0.017604950288396055,0.0886697653580142
forceplate/grf/left/z,m2_S001,0.5274657057981398,0.41129345572464593
forceplate/grf/left/z,m2_S002,0.6248173692315933,0.49593981117855557
forceplate/grf/left/z,m2_S003,0.5238144666386781,0.4136793721755737
forceplate/grf/left/z,m2_S004,0.6022564840482774,0.4897194383046388
forceplate/grf/left/z,m2_S005,0.43336419731052495,0.35784340042392027
forceplate/grf/left/z,m2_S006,0.6176262427338983,0.48038486463183094
forceplate/grf/left/z,m2_S007,0.5101551082473598,0.4247895945987589
forceplate/grf/left/z,m2_S008,0.5871591427864817,0.4746111537828637
forceplate/grf/right/x,m2_S001,-0.03261175072610844,0.03299834284016291
forceplate/grf/right/x,m2_S002,-0.030679739345451214,0.03795099241641079
forceplate/grf/right/x,m2_S003,-0.026920721866543793,0.03098419663926491
forceplate/grf/right/x,m2_S004,-0.041760489274740104,0.041739769743600365
forceplate/grf/right/x,m2_S005,-0.02514332851946197,0.030009280604312148
forceplate/grf/right/x,m2_S006,-0.029796255885683246,0.03487655727480302
forceplate/grf/right/x,m2_S007,-0.039304907671543696,0.038966784577667
forceplate/grf/right/x,m2_S008,-0.03439491616553646,0.03886072055348973
forceplate/grf/right/y,m2_S001,0.008133306949647649,0.08736546413933027
forceplate/grf/right/y,m2_S002,0.010893949371467015,0.0941527872040123
forceplate/grf/right/y,m2_S003,0.012092083206169146,0.08583316347045844
forceplate/grf/right/y,m2_S004,0.017331974535235464,0.1007584389475425
forceplate/grf/right/y,m2_S005,0.013449017902630811,0.06941889522196698
forceplate/grf/right/y,m2_S006,0.0090007172445817,0.09235796938259909
forceplate/grf/right/y,m2_S007,0.012749111691740813,0.089349712730651
forceplate/grf/right/y,m2_S008,0.013519761355823647,0.09038925801982733
forceplate/grf/right/z,m2_S001,0.5210581343822285,0.4095037915104936
forceplate/grf/right/z,m2_S002,0.6194239499032816,0.4958771043766088
forceplate/grf/right/z,m2_S003,0.5164238669791268,0.4134110840224835
forceplate/grf/right/z,m2_S004,0.6188299131054996,0.48842005789838827
forceplate/grf/right/z,m2_S005,0.4475560072642199,0.36262188551821734
forceplate/grf/right/z,m2_S006,0.5665849366933136,0.48727217289343294
forceplate/grf/right/z,m2_S007,0.5253480327816384,0.42921628407081547
forceplate/grf/right/z,m2_S008,0.5981407355881925,0.4739516288230212
mocap/kin_q/ankle_angle_l,m2_S001,7.902440894697268,8.041519124204042
mocap/kin_q/ankle_angle_l,m2_S002,9.69363542389461,7.8097526947011255
mocap/kin_q/ankle_angle_l,m2_S003,7.592456793686083,7.765688370073172
mocap/kin_q/ankle_angle_l,m2_S004,13.38748914842631,8.01661329498163
mocap/kin_q/ankle_angle_l,m2_S005,9.639594407556785,7.9246375129160755
mocap/kin_q/ankle_angle_l,m2_S006,6.912350045511697,9.579459295734322
mocap/kin_q/ankle_angle_l,m2_S007,10.14793162048597,7.603925048975811
mocap/kin_q/ankle_angle_l,m2_S008,10.81019999357852,8.297579880835064
mocap/kin_q/ankle_angle_l_ddot,m2_S001,-0.02120410183684119,1451.1379828180777
mocap/kin_q/ankle_angle_l_ddot,m2_S002,0.010922233036380383,1136.7207712041225
mocap/kin_q/ankle_angle_l_ddot,m2_S003,0.031477144482911695,1658.9367719519983
mocap/kin_q/ankle_angle_l_ddot,m2_S004,-0.010175355520667057,1423.939033377597
mocap/kin_q/ankle_angle_l_ddot,m2_S005,0.012067141060495268,1466.2272664584132
mocap/kin_q/ankle_angle_l_ddot,m2_S006,-0.010838024312354396,1258.0623053156046
mocap/kin_q/ankle_angle_l_ddot,m2_S007,-0.04749316273449112,1672.479787954012
mocap/kin_q/ankle_angle_l_ddot,m2_S008,-0.018521443078567686,1306.5560901781719
mocap/kin_q/ankle_angle_l_dot,m2_S001,0.007889533802117035,74.0845494376753
mocap/kin_q/ankle_angle_l_dot,m2_S002,0.012273313448822121,63.913212865951095
mocap/kin_q/ankle_angle_l_dot,m2_S003,-0.003801976092365331,79.93323665509114
