model,n_runs,n_seeds,n_subjects,mae_mean,mae_std,rmse_mean,rmse_std,huber_mean,huber_std,params_mean,model_size_mb_mean,host_latency_ms_mean,host_max_freq_hz_mean
teacher_kinpower,24,3,8,2.649353548884392,0.6067215133567428,3.614600549141566,1.4147903873958627,2.4529570803400786,0.260979757841426,224072.0,0.8548,2.349108333333333,430.7391666666667
tiny_kinpower_w100,24,3,8,2.7056882878144584,0.5677526036363152,3.6964010298252106,1.371518988043363,2.4371687236540014,0.24195581451443277,22720.0,0.0867,2.0984416666666665,487.43041666666664
