subject,seed,teacher_kinpower,tiny_kinpower_w100,tiny_minus_teacher_mae
m2_S001,7,2.3425378799438477,2.4637181758880615,0.12118029594421387
m2_S001,42,1.9811408519744873,2.1685454845428467,0.18740463256835938
m2_S001,99,2.167137622833252,2.2336888313293457,0.06655120849609375
m2_S002,7,2.041043996810913,2.203212022781372,0.16216802597045898
m2_S002,42,2.195709466934204,2.2256221771240234,0.029912710189819336
m2_S002,99,2.0609447956085205,2.2230496406555176,0.16210484504699707
m2_S003,7,3.999805212020874,4.2179365158081055,0.21813130378723145
m2_S003,42,3.7975683212280273,3.595677614212036,-0.2018907070159912
m2_S003,99,3.9489903450012207,4.013239860534668,0.06424951553344727
m2_S004,7,2.7081005573272705,2.712606191635132,0.004505634307861328
m2_S004,42,2.8436310291290283,2.660393476486206,-0.18323755264282227
m2_S004,99,2.801792860031128,2.9261341094970703,0.12434124946594238
m2_S005,7,2.626389265060425,2.931504011154175,0.30511474609375
m2_S005,42,2.6882057189941406,2.838615655899048,0.15040993690490723
m2_S005,99,2.6033308506011963,2.778541088104248,0.17521023750305176
m2_S006,7,2.4985358715057373,2.5618653297424316,0.06332945823669434
m2_S006,42,2.515984535217285,2.4651143550872803,-0.05087018013000488
m2_S006,99,2.480290412902832,2.427618980407715,-0.05267143249511719
m2_S007,7,3.052438735961914,2.9388489723205566,-0.11358976364135742
m2_S007,42,3.1208653450012207,2.9762256145477295,-0.1446397304534912
m2_S007,99,3.0796279907226562,2.894932508468628,-0.18469548225402832
m2_S008,7,2.009777069091797,2.1925482749938965,0.1827712059020996
m2_S008,42,1.952374815940857,2.1450867652893066,0.1927119493484497
m2_S008,99,2.0682616233825684,2.1417932510375977,0.0735316276550293
