time_s,pc_time_s,seq_id,module_id,tx_drops,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MotorAngle_L,MotorAngle_R,MotorTorque_L,MotorTorque_R
0.042000,0.051073,57243,16,0,0.016759,9.830592,-0.033519,-1.281738,-0.213623,-0.335693,-25.400391,13.227539,0.010986,-0.012817
0.043000,0.051081,57244,16,0,0.000000,9.777920,0.016759,-1.129150,-0.061035,-0.244141,-25.400391,13.227539,-0.020142,0.012817
0.044000,0.051089,57245,16,0,0.007183,9.763555,-0.050278,-1.251221,-0.030518,-0.305176,-25.400391,13.227539,0.005493,-0.025635
0.045000,0.051097,57246,16,0,0.043096,9.787497,-0.086191,-1.373291,-0.061035,-0.366211,-25.400391,13.227539,0.023804,0.001831
0.046000,0.051105,57247,16,0,0.040701,9.806650,-0.045490,-1.342773,-0.091553,-0.213623,-25.400391,13.227539,0.010986,-0.005493
0.047000,0.051112,57248,16,0,0.000000,9.801862,0.002394,-1.220703,-0.122070,-0.122070,-25.400391,13.227539,-0.012817,0.005493
0.048000,0.051121,57249,16,0,-0.055067,9.787497,0.002394,-1.251221,-0.274658,-0.366211,-25.400391,13.227539,-0.010986,-0.003662
0.049000,0.051128,57250,16,0,-0.067038,9.763555,0.000000,-1.281738,-0.274658,-0.396729,-25.400391,13.227539,-0.005493,0.005493
0.050000,0.051136,57251,16,0,0.002394,9.825804,-0.040701,-1.342773,-0.244141,-0.274658,-25.400391,13.227539,0.014648,0.010986
0.051000,0.082139,57252,16,0,0.026336,9.847352,-0.050278,-1.403809,-0.274658,-0.335693,-25.400391,13.227539,-0.001831,-0.016479
0.052000,0.082195,57253,16,0,0.019154,9.787497,-0.031125,-1.495361,-0.061035,-0.518799,-25.400391,13.227539,0.014648,-0.010986
0.053000,0.082220,57254,16,0,0.033519,9.818622,-0.026336,-1.312256,0.061035,-0.366211,-25.400391,13.227539,0.001831,-0.012817
0.054000,0.082244,57255,16,0,0.033519,9.832987,0.000000,-1.281738,0.061035,-0.122070,-25.400391,13.227539,-0.009155,-0.007324
0.055000,0.082266,57256,16,0,-0.014365,9.828198,-0.021548,-1.251221,0.000000,-0.244141,-25.400391,13.227539,-0.003662,0.014648
0.056000,0.082288,57257,16,0,-0.052672,9.809045,0.011971,-1.312256,-0.030518,-0.305176,-25.400391,13.227539,-0.003662,-0.014648
0.057000,0.082309,57258,16,0,-0.023942,9.763555,-0.002394,-1.373291,-0.213623,-0.152588,-25.400391,13.227539,0.009155,0.010986
0.058000,0.082332,57259,16,0,0.019154,9.801862,-0.105345,-1.251221,-0.244141,-0.152588,-25.400391,13.227539,0.018311,-0.018311
0.059000,0.082355,57260,16,0,0.059855,9.818622,-0.069432,-1.281738,-0.091553,-0.305176,-25.400391,13.227539,0.010986,-0.016479
0.060000,0.082375,57261,16,0,0.050278,9.797073,0.069432,-1.312256,0.091553,-0.366211,-25.400391,13.227539,0.010986,-0.010986
0.061000,0.082396,57262,16,0,-0.009577,9.801862,0.040701,-1.495361,0.000000,-0.396729,-25.400391,13.227539,0.001831,0.012817
0.062000,0.082417,57263,16,0,-0.002394,9.847352,-0.016759,-1.434326,0.000000,-0.335693,-25.400391,13.227539,0.005493,-0.016479
0.063000,0.082438,57264,16,0,-0.021548,9.830592,0.002394,-1.190186,-0.061035,-0.213623,-25.400391,13.227539,-0.007324,-0.001831
0.064000,0.082458,57265,16,0,-0.028730,9.801862,0.059855,-1.220703,-0.183105,-0.396729,-25.400391,13.227539,-0.009155,0.014648
0.065000,0.082480,57266,16,0,0.002394,9.821015,0.043096,-1.281738,-0.091553,-0.366211,-25.400391,13.227539,0.007324,0.010986
0.066000,0.082500,57267,16,0,-0.011971,9.787497,-0.052672,-1.220703,0.000000,-0.457764,-25.400391,13.227539,0.012817,-0.020142
0.067000,0.082522,57268,16,0,-0.014365,9.753978,-0.083797,-1.434326,0.000000,-0.366211,-25.400391,13.227539,0.010986,0.000000
0.068000,0.082549,57269,16,0,0.016759,9.797073,-0.062249,-1.373291,0.061035,-0.274658,-25.400391,13.227539,-0.007324,-0.014648
0.069000,0.082571,57270,16,0,0.040701,9.844957,0.019154,-1.281738,-0.030518,-0.152588,-25.400391,13.227539,-0.010986,0.025635
0.070000,0.082592,57271,16,0,0.026336,9.809045,0.076614,-1.434326,-0.061035,-0.274658,-25.400391,13.227539,0.023804,0.003662
0.071000,0.082614,57272,16,0,-0.028730,9.763555,0.050278,-1.464844,-0.061035,-0.427246,-25.400391,13.227539,0.014648,-0.009155
0.072000,0.082635,57273,16,0,-0.026336,9.730036,0.009577,-1.495361,-0.061035,-0.488281,-25.400391,13.227539,0.020142,-0.021973
0.073000,0.082655,57274,16,0,0.000000,9.739613,-0.086191,-1.373291,-0.213623,-0.244141,-25.400391,13.227539,0.016479,0.016479
0.074000,0.082677,57275,16,0,-0.004788,9.768343,-0.098162,-1.281738,-0.274658,-0.213623,-25.400391,13.227539,0.027466,0.014648
0.075000,0.082697,57276,16,0,0.014365,9.758766,0.009577,-1.342773,-0.183105,-0.244141,-25.400391,13.227539,0.005493,0.003662
0.076000,0.082718,57277,16,0,0.059855,9.821015,0.062249,-1.495361,-0.091553,-0.274658,-25.400391,13.227539,-0.009155,-0.023804
0.077000,0.082739,57278,16,0,0.031125,9.811439,0.052672,-1.556396,0.030518,-0.457764,-25.400391,13.227539,-0.010986,-0.007324
0.078000,0.082761,57279,16,0,-0.033519,9.749189,0.000000,-1.403809,0.091553,-0.335693,-25.400391,13.227539,-0.005493,-0.016479
0.079000,0.082782,57280,16,0,-0.011971,9.787497,0.000000,-1.281738,0.061035,-0.152588,-25.400391,13.227539,-0.014648,-0.012817
0.080000,0.082804,57281,16,0,0.009577,9.744401,0.057461,-1.220703,0.000000,-0.244141,-25.400391,13.227539,0.007324,0.003662
0.081000,0.082825,57282,16,0,-0.033519,9.739613,0.007183,-1.251221,-0.030518,-0.366211,-25.400391,13.227539,0.012817,0.023804
0.082000,0.114628,57283,16,0,0.004788,9.830592,-0.033519,-1.251221,-0.183105,-0.427246,-25.400391,13.227539,0.012817,-0.020142
0.083000,0.114668,57284,16,0,0.033519,9.792285,0.000000,-1.129150,-0.122070,-0.427246,-25.400391,13.227539,-0.025635,0.016479
0.084000,0.114681,57285,16,0,-0.081403,9.677363,-0.033519,-1.464844,0.030518,-0.366211,-25.400391,13.227539,-0.018311,0.016479
0.085000,0.114691,57286,16,0,-0.057461,9.725247,-0.098162,-1.312256,-0.030518,-0.152588,-25.400391,13.227539,-0.009155,0.000000
0.086000,0.114701,57287,16,0,0.086191,9.837775,0.000000,-1.312256,-0.091553,-0.183105,-25.400391,13.227539,-0.016479,0.007324
0.087000,0.114710,57288,16,0,0.100556,9.825804,0.141258,-1.342773,0.000000,-0.244141,-25.400391,13.227539,0.025635,0.001831
0.088000,0.114719,57289,16,0,0.016759,9.816227,0.033519,-1.159668,0.030518,-0.244141,-25.400391,13.227539,0.016479,0.007324
0.089000,0.114727,57290,16,0,-0.076614,9.749189,-0.119710,-1.159668,0.061035,-0.244141,-25.400391,13.227539,-0.014648,0.009155
0.090000,0.114736,57291,16,0,-0.079009,9.691729,-0.083797,-1.342773,-0.122070,-0.183105,-25.400391,13.227539,-0.016479,0.009155
0.091000,0.114744,57292,16,0,0.000000,9.782708,0.040701,-1.373291,-0.274658,-0.061035,-25.400391,13.227539,0.007324,0.005493
0.092000,0.114753,57293,16,0,0.016759,9.835381,0.102951,-1.312256,-0.122070,-0.183105,-25.400391,13.227539,0.009155,-0.014648
0.093000,0.114761,57294,16,0,-0.014365,9.809045,0.033519,-1.281738,0.061035,-0.396729,-25.400391,13.227539,-0.003662,-0.018311
0.094000,0.114769,57295,16,0,-0.055067,9.725247,-0.052672,-1.251221,-0.061035,-0.152588,-25.400391,13.227539,0.014648,0.009155
0.095000,0.114777,57296,16,0,-0.021548,9.682152,-0.050278,-1.129150,-0.152588,-0.152588,-25.400391,13.227539,-0.018311,-0.012817
0.096000,0.114785,57297,16,0,0.007183,9.777920,-0.004788,-1.098633,-0.091553,-0.274658,-25.400391,13.227539,0.012817,-0.014648
0.097000,0.114793,57298,16,0,-0.007183,9.868899,0.052672,-1.312256,0.061035,-0.427246,-25.400391,13.227539,0.010986,0.005493
0.098000,0.114802,57299,16,0,-0.033519,9.818622,0.114922,-1.251221,0.061035,-0.427246,-25.400391,13.227539,-0.010986,0.012817
0.099000,0.114812,57300,16,0,-0.052672,9.753978,0.000000,-1.434326,0.000000,-0.396729,-25.400391,13.227539,0.009155,0.009155
0.100000,0.114821,57301,16,0,-0.021548,9.749189,-0.141258,-1.556396,-0.122070,-0.305176,-25.400391,13.227539,-0.001831,-0.020142
0.101000,0.114829,57302,16,0,-0.004788,9.720459,-0.033519,-1.403809,-0.122070,-0.183105,-25.400391,13.227539,0.040283,0.012817
0.102000,0.114837,57303,16,0,0.021548,9.768343,0.043096,-1.403809,-0.061035,-0.244141,-25.400391,13.227539,0.003662,0.016479
0.103000,0.114845,57304,16,0,0.067038,9.835381,0.074220,-1.434326,0.030518,-0.335693,-25.400391,13.227539,-0.021973,-0.009155
0.104000,0.114853,57305,16,0,0.038307,9.801862,0.062249,-1.342773,0.122070,-0.244141,-25.400391,13.227539,-0.020142,-0.018311
0.105000,0.114861,57306,16,0,-0.031125,9.768343,-0.055067,-1.342773,-0.030518,-0.335693,-25.400391,13.227539,-0.007324,-0.009155
0.106000,0.114870,57307,16,0,-0.028730,9.787497,-0.062249,-1.403809,-0.213623,-0.305176,-25.400391,13.227539,0.009155,-0.005493
0.107000,0.114893,57308,16,0,-0.007183,9.792285,-0.023942,-1.281738,-0.091553,-0.244141,-25.400391,13.227539,0.005493,-0.003662
0.108000,0.114901,57309,16,0,0.028730,9.852140,0.000000,-1.281738,0.000000,-0.335693,-25.400391,13.227539,0.009155,0.000000
0.109000,0.114910,57310,16,0,0.031125,9.885659,0.045490,-1.342773,0.030518,-0.396729,-25.400391,13.227539,0.014648,-0.010986
0.110000,0.114918,57311,16,0,-0.007183,9.809045,0.002394,-1.220703,0.030518,-0.274658,-25.400391,13.227539,0.007324,-0.010986
0.111000,0.114928,57312,16,0,-0.083797,9.758766,-0.112527,-1.159668,0.000000,-0.122070,-25.400391,13.227539,-0.007324,0.001831
0.112000,0.152962,57313,16,0,-0.074220,9.763555,-0.126893,-1.403809,-0.183105,-0.244141,-25.400391,13.227539,-0.023804,0.016479
0.113000,0.152997,57314,16,0,0.047884,9.825804,-0.021548,-1.312256,-0.213623,-0.335693,-25.400391,13.227539,-0.018311,-0.003662
0.114000,0.153007,57315,16,0,0.098162,9.873688,0.074220,-1.312256,-0.122070,-0.427246,-25.400391,13.227539,-0.003662,0.005493
0.115000,0.153018,57316,16,0,0.026336,9.835381,0.067038,-1.281738,0.061035,-0.366211,-25.400391,13.227539,-0.005493,0.007324
0.116000,0.153026,57317,16,0,-0.076614,9.749189,-0.062249,-1.312256,0.122070,-0.244141,-25.400391,13.227539,-0.003662,0.010986
0.117000,0.153034,57318,16,0,-0.026336,9.763555,-0.138864,-1.159668,0.000000,-0.305176,-25.400391,13.227539,-0.010986,0.014648
0.118000,0.153042,57319,16,0,0.050278,9.825804,-0.002394,-1.129150,-0.091553,-0.396729,-25.400391,13.227539,-0.010986,-0.027466
0.119000,0.153051,57320,16,0,0.016759,9.854534,0.095768,-1.251221,0.000000,-0.427246,-25.400391,13.227539,-0.003662,-0.009155
0.120000,0.153060,57321,16,0,-0.007183,9.828198,0.028730,-1.220703,0.274658,-0.457764,-25.400391,13.227539,-0.016479,0.005493
0.121000,0.153070,57322,16,0,-0.026336,9.758766,-0.033519,-1.190186,0.061035,-0.335693,-25.400391,13.227539,-0.014648,0.009155
0.122000,0.153089,57323,16,0,-0.040701,9.768343,-0.086191,-1.281738,-0.213623,-0.335693,-25.400391,13.227539,-0.009155,-0.014648
0.123000,0.153097,57324,16,0,-0.033519,9.816227,-0.093374,-1.251221,-0.335693,-0.244141,-25.400391,13.227539,0.012817,-0.012817
0.124000,0.153105,57325,16,0,-0.021548,9.825804,0.000000,-1.403809,-0.152588,-0.274658,-25.400391,13.227539,-0.020142,0.007324
0.125000,0.153113,57326,16,0,-0.007183,9.816227,0.033519,-1.525879,-0.091553,-0.335693,-25.400391,13.227539,0.003662,-0.014648
0.126000,0.153120,57327,16,0,-0.016759,9.763555,-0.021548,-1.312256,-0.122070,-0.305176,-25.400391,13.227539,-0.005493,0.016479
0.127000,0.153128,57328,16,0,-0.026336,9.701305,0.009577,-1.159668,-0.183105,-0.183105,-25.400391,13.227539,-0.012817,0.000000
0.128000,0.153137,57329,16,0,-0.004788,9.753978,-0.023942,-1.190186,-0.305176,-0.335693,-25.400391,13.227539,0.014648,-0.031128
0.129000,0.153145,57330,16,0,0.045490,9.885659,-0.057461,-1.373291,-0.091553,-0.488281,-25.400391,13.227539,0.016479,0.001831
0.130000,0.153153,57331,16,0,0.021548,9.840169,0.045490,-1.434326,0.061035,-0.396729,-25.400391,13.227539,0.010986,-0.009155
0.131000,0.153161,57332,16,0,-0.038307,9.734824,0.016759,-1.403809,0.183105,-0.305176,-25.400391,13.227539,-0.012817,0.010986
0.132000,0.153169,57333,16,0,-0.050278,9.734824,-0.126893,-1.129150,-0.061035,-0.122070,-25.400391,13.227539,-0.021973,0.012817
0.133000,0.153177,57334,16,0,0.009577,9.816227,-0.095768,-1.098633,-0.244141,-0.213623,-25.400391,13.227539,-0.023804,0.009155
0.134000,0.153185,57335,16,0,0.033519,9.856929,0.055067,-1.220703,-0.213623,-0.213623,-25.400391,13.227539,-0.018311,-0.010986
0.135000,0.153193,57336,16,0,-0.026336,9.856929,0.007183,-1.312256,-0.030518,-0.122070,-25.400391,13.227539,-0.009155,0.014648
0.136000,0.153200,57337,16,0,-0.023942,9.856929,-0.126893,-1.403809,-0.061035,-0.183105,-25.400391,13.227539,0.012817,0.010986
0.137000,0.153208,57338,16,0,-0.026336,9.787497,-0.088585,-1.281738,-0.030518,-0.183105,-25.400391,13.227539,-0.009155,0.000000
0.138000,0.153217,57339,16,0,0.000000,9.777920,0.043096,-1.098633,-0.091553,-0.244141,-25.400391,13.227539,0.018311,0.012817
