mode,name,side,scale_factor,mean_wave_rmse_raw,mean_wave_rmse_corrected,std_wave_rmse_raw,std_wave_rmse_corrected,peak_mean_abs_error_raw,peak_mean_abs_error_corrected,peak_std_abs_error_raw,peak_std_abs_error_corrected,ref_mean_peak_grf_norm,target_mean_peak_grf_norm,ref_mean_peak_fsr_norm,target_mean_peak_fsr_norm,expected_mean_peak_fsr_norm,corrected_mean_peak_fsr_norm
between_subject,S001->S002,left,2.823409272920518,0.7708701422282388,0.5025051483349161,0.14766244682370464,0.33275638248332334,1.7983373975915347,4.440892098500626e-16,0.0398358014484769,0.4441654977709403,11.701883697509766,11.520788860321044,2.828358221054077,0.9862500011920929,2.7845873987836276,2.784587398783627
between_subject,S001->S002,right,1.6580319585726708,0.8157791446534068,0.3737165993050275,0.0778981540795955,0.27468116271773013,2.271032800161672,8.881784197001252e-16,0.13279584268702432,0.5053882915550616,11.522222232818603,11.945751190185547,5.519402933120728,3.4512500047683714,5.722282804930043,5.7222828049300425
between_subject,S002->S003,left,0.786329245487091,0.11749825633277247,0.08933455073370915,0.10099389341735605,0.1075762914472426,0.2637398705887226,0.0,0.044798936939694806,0.08185448808542342,11.520788860321044,11.337840270996093,0.9862500011920929,1.2343283534049987,0.9705884828162761,0.9705884828162761
between_subject,S002->S003,right,0.9314278170082769,0.5145509042857761,0.5494141531465169,0.13569364723344055,0.1424279511151952,0.23048440940146797,4.440892098500626e-16,0.02664840156476933,0.010399914614877326,11.945751190185547,10.836270236968994,3.4512500047683714,3.3611939907073975,3.1307095813059296,3.13070958130593
between_subject,S003->S004,left,0.5000469912146849,0.811289071425375,0.3062114369811886,0.16857185927565108,0.0992246979608599,1.2525138554705486,2.220446049250313e-16,0.009451279945197955,0.09272368775477167,11.337840270996093,11.507044696807862,1.2343283534049987,2.505263161659241,1.2527493061886923,1.252749306188692
between_subject,S003->S004,right,1.776951281585736,0.4788360968746944,0.35187279293940055,0.10604659107390597,0.15833648937527822,1.5723040355310398,0.0,0.03575569077144325,0.5126318968662557,10.836270236968994,11.593231582641602,3.3611939907073975,2.0236842036247253,3.595988239155765,3.595988239155765
between_subject,S004->S005,left,0.5505280859352,1.3784308017092586,0.41361085150815335,0.32032245574803936,0.13903143458231046,2.085228637547944,0.0,0.511009473670327,0.2050027156292723,11.507044696807862,11.731162452697754,2.505263161659241,4.639285731315613,2.5540570937676685,2.5540570937676685
between_subject,S004->S005,right,0.36158488715185194,2.327394665369002,0.5233070226893387,1.057243646334349,0.32660973652361,3.892052143096962,4.440892098500626e-16,0.3660292000902412,0.2944824280792347,11.593231582641602,12.628376770019532,2.0236842036247253,6.09642858505249,2.2043764419555285,2.204376441955529
between_subject,S005->S006,left,1.2947338011851384,1.5954533341553065,1.4622414477630397,0.20311445344394977,0.2192375508725859,1.0254439632318246,8.881784197001252e-16,0.03462497551112875,0.23966637340231445,11.731162452697754,11.390752124786378,4.639285731315613,3.4792207717895507,4.504664735021375,4.504664735021376
between_subject,S005->S006,right,1.5639587167688251,1.6450198574247095,1.2952235316451195,0.9648187075818089,0.9048408194950691,2.0441672565071336,0.0,0.3075619741300183,0.061540469732356606,12.628376770019532,11.742658710479736,6.09642858505249,3.6246753454208376,5.668842601927971,5.668842601927971
between_subject,S006->S007,left,2.757878595274164,0.7683700646284374,0.36626003858522627,0.3122957883629423,0.2197214519791393,2.319904564118003,0.0,0.3602046977884659,0.28590649377560284,11.390752124786378,11.915898609161378,3.4792207717895507,1.3197183072566987,3.639622871374702,3.639622871374702
between_subject,S006->S007,right,1.8124275593462627,0.8814468666280445,0.5941212853071455,0.1976199480873432,0.15601238043023136,1.5859501262012057,0.0,0.47157782982581986,0.3356847386911493,11.742658710479736,11.462064838409423,3.6246753454208376,1.9521126627922059,3.5380627889934115,3.5380627889934115
between_subject,S007->S008,left,0.1626857762471532,2.875163287358829,0.27528244341699304,0.6134308369729733,0.09609740326423145,6.475964413837604,0.0,0.16872410393588327,0.26597198073207623,11.915898609161378,11.36085786819458,1.3197183072566987,7.734210443496704,1.2582460296591003,1.2582460296591003
between_subject,S007->S008,right,0.5243853660547924,0.9188838795826515,0.26092688699468913,0.22950495367654053,0.07604637473967994,1.7097094454967932,0.0,0.38261286790668764,0.12381545259879656,11.462064838409423,11.068165588378907,1.9521126627922059,3.594736838340759,1.885027392843966,1.885027392843966
