group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_S3A4_T1_r1_reference,0.05685505,0.08955734,0.94066817,12.5,0.05685505,0.0
exp_S3A4_T0_p6_reference,0.06011746,0.08641818,0.94475466,18.0,0.06011746,0.0
exp_S3A4_M2_memory_calibrator_invariant,0.061206833,0.094093606,0.93450534,28.5,0.061206833,0.0
exp_S3A4_M3_memory_calibrator_plateau,0.061309315,0.09556305,0.93244374,22.5,0.061309315,0.0
exp_S3A4_M1_memory_calibrator_base,0.06414929,0.09398928,0.9346505,23.5,0.06414929,0.0
exp_S3A4_F2_factorized_anchor_supervised,0.06434721,0.09866397,0.92798835,10.5,0.06434721,0.0
exp_S3A4_F1_factorized_anchor_base,0.0737093,0.11102725,0.9088105,22.5,0.0737093,0.0
exp_S3A4_O1_observer_base,0.08370579,0.11750254,0.89786375,14.5,0.08370579,0.0
exp_S3A4_O2_observer_plateau,0.08383707,0.120663114,0.8922953,4.5,0.08383707,0.0
exp_S3A4_O3_observer_contrastive,0.090068154,0.12828273,0.87826324,48.0,0.090068154,0.0
