group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_WG_S1A2_raw_full_w200_cmp_clamp07,0.025996638,0.03740847,0.98982936,-0.5,0.025996638,0.0
exp_WG_S1A2_raw_full_w200_cmp_clamp07j080,0.08699374,0.12350654,0.88913655,-64.5,0.08699374,0.0
exp_WG_S1A2_raw_full_w200_cmp_clamp07j065,0.12546647,0.17395285,0.7800766,-138.5,0.12546647,0.0
exp_WG_S1A2_raw_full_w200_cmp_clamp07j058,0.13546857,0.19051851,0.73619515,-194.5,0.13546857,0.0
