experiment,n_folds,mae_mean,mae_std,rmse_mean,rmse_std,huber_mean,huber_std,params_mean,model_size_mb_mean,host_latency_ms_mean,host_max_freq_hz_mean
exp_S2A6F_tiny_kinpower_w100,8,2.6344101428985596,0.46576333928036984,3.6293221414089203,1.275734378876739,2.417637220094504,0.22146796958354,22720.0,0.0867,2.252475,446.0825
exp_S2A6F_ctrl_teacher_kinpower,8,2.6369350105524063,0.5846588552722038,3.606761485338211,1.3645439253816178,2.437307926917283,0.24718288174404346,224072.0,0.8548,2.295725,442.37875
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,8,2.6985296308994293,0.5283788857117668,3.729244440793991,1.3384851285953223,2.4364094094304907,0.23789296867115317,23597.0,0.08999999999999998,3.0044500000000003,349.255
